title,part_of_speech,definition,current_etymology,priority
աբեղա,noun,"['dialectal forms recorded in dialectological notation.', 'abegha.', '(figuratively) hermit, recluse",,1
աբոնեմենտ,noun,['subscription; season ticket.'],,3
աբոնենտ,noun,['subscriber.'],,2
աբսոլյուտ,adj,"['colloquial absolute.', '(colloquial) absolute.']",,3
աբսուրդ,adj,"['absurdity, nonsense.', 'absurd.']",,2
աբստրակցիա,noun,['abstraction.'],,3
աբստրահել,verb,['to abstract.'],,3
ագաթ,noun,['agate.'],,1
ագահաբար,adv,"['greedily, avidly.', 'eagerly.']",,2
ագահություն,noun,"['greed, avarice.']",,3
ագարակ,noun,"['farm; farmstead.', '(historical) landed estate.', '(historical) single-homestead settlement, khuto",,2
ագուցահանել,verb,"['to cut a groove, rabbet.']",,3
ագուցավորել,verb,"['to groove, match, rabbet.']",,3
ագուցել,verb,"['transitive to fit in, to joint, to enchase.', '(transitive) to fit in, to joint, to enchase.']",,2
ագրեգատավորել,verb,"['technology to aggregate, unitize, gang up.', '(technology) to aggregate, unitize, gang up.']",,3
ագրեսիա,noun,"['aggression.', '(international law) war of aggression.']",,2
ադալաթ,noun,"['justice, fairness.']",,2
ադամանդել,verb,"['rare, transitive to adorn with diamonds.', '(rare, transitive) to adorn with diamonds.']",,3
ադաշ,noun,"['namesake person with the same name as another.', 'namesake (person with the same name as another).",,1
ազան,noun,"['Islam azan, adhan, a call by the mullah inviting to prayer.', '(Islam) azan, adhan, a call by the ",,1
ազատագնել,verb,"['transitive to ransom.', '(transitive) to ransom.']",,3
ազատագրել,verb,"['to liberate, set free; to emancipate.']",,3
ազատազրկել,verb,"['to confine, deprive of liberty, imprison.']",,3
ազատել,verb,['to free.'],,2
ազատլամա,noun,"['dialectal, Karin, Sebastia liberation.', '(dialectal, Erzurum, Sivas) liberation.', '(dialectal) d",,2
ազատություն,noun,['freedom.'],,3
ազգաբան,noun,"['ethnologist.', 'genealogist.']",,2
ազգական,noun,"['relation, relative; kinsman; kinswoman; kindred, kinsfolk.']",,2
ազդարարել,verb,"['to announce, to proclaim, to advertise to give public notice of; to announce publicly.', 'to annou",,3
ալաճա,adj,"['multi-coloured, piebald.']",,1
ալբուխարա,noun,"[', citing as.', 'alubukhara.']",,3
ալիշ-վերիշ,noun,"['commerce, trade.']",,3
ալյումին,noun,['aluminum.'],,2
ալոե,noun,"['aloe plant.', 'aloe (plant).']",,1
ալտ,noun,"['alto voice.', 'alto (voice).', 'alto (singer).', 'viola (musical instrument).']",,1
ալրաղաց,noun,"['gristmill.', 'flour mill, gristmill.']",,2
ալևոր,adj,"['of a man gray-haired.', '(of a man) gray-haired.', '(figuratively) ancient.', 'old man.']",,1
ախոյան,noun,"['formal adversary, foe.', '(formal) adversary, foe.', '(sports) competitor, contestant.', '(sports,",,2
ախռաննիկ,noun,"[""“Do, you think about yourself and give it to us, now there is no water, but the harvest will be ou",,2
ախր,particle,"['Armenian particle.', 'used to express opposition to a remark, often expressing a degree of exasper",,1
ածիլել,verb,"['transitive to shave.', '(transitive) to shave.']",,2
ածխաջուր,noun,['carbohydrate.'],,2
ակ,noun,"['spring, fountain, source of water.', '(botany) bud.', '(dialectal) eye; sight.', '(figuratively) o",,1
ականանետ,noun,"['military mortar, trench mortar lightweight, often portable artillery piece which transmits recoil ",,2
ականջ,noun,"['ear.', '(figuratively) hearing, ability to hear.', '(figuratively) spy, informant.', '(figurativel",,1
ակն ընդ ական,,['eye for an eye.'],,3
ակնակապիճ,noun,"['anatomy eye socket.', '(anatomy) eye socket.']",,3
ակնարկ,noun,"['essay, overview literary genre.', 'essay, overview (literary genre).', 'hint, suggestion, allusion",,2
ակնարկել,verb,"[""to give a look or move one's eyes as a message or signal."", 'to hint, to allude, to remind subtly.",,2
ահազանգել,verb,"['to sound the alarm, to raise the alarm, to alarm.', 'to warn, to alert.']",,3
աղախին,noun,"['maidservant, housemaid, maid.']",,2
աղամող,noun,"['tortuous, twisting; crooked, distorted.']",,2
աղանդավորություն,noun,['sectarianism.'],,3
աղանդեր,noun,"['formal dessert.', '(formal) dessert.']",,2
աղանձ,noun,['roasted wheat and other cereals.'],,1
աղաչել,verb,"['to entreat, to beg, to pray, to implore, to supplicate (for).']",,2
աղաջուր,noun,"['.ogg|a=Eastern Armenian}}.', 'brine.']",,2
աղավնի,noun,"['dove, pigeon.']",,2
աղբյուր,noun,"['spring, fountain, source of water.', 'the water flowing from a spring.', 'a structure built upon a",,2
աղբուն,noun,"['dialectal manure prepared for fertilizing fields.', '(dialectal) manure prepared for fertilizing f",,2
աղոթարար,adj,"['that prays to god, that addresses god in prayer.', 'mantis, praying mantis (insect of the order Ma",,2
աղոթք,noun,['prayer.'],,1
աղջիկ,noun,"['girl, young woman.', 'little girl; girlie.', '(colloquial) daughter.', 'maidservant, housemaid.', ",,1
աղվես,noun,"['fox.', '(figuratively) cunning person.']",,1
աղտոտել,verb,"['transitive to soil, to sully, to dirty.', '(transitive) to soil, to sully, to dirty.']",,2
աղքատ,adj,"['poor, indigent.', 'scant, scanty, poor, pathetic; meagre, wretched.', 'poor man, pauper.']",,1
աղքատանոց,noun,"['.ogg|a=Eastern Armenian}}.', 'poorhouse.']",,3
աճ,noun,"['increase; rise; growth.', 'development.']",,1
աճյուն,noun,"['ashes, remains of a human.', 'ashes, remains (of a human).', 'corpse, dead body.', '(figuratively)",,2
ամբարհավաճություն,noun,['arrogance.'],,3
ամբիցիա,noun,['ambition.'],,2
ամենայն,pron,"['chiefly, literary all, entire.', '(chiefly literary) all, entire.']",,2
ամիս,noun,['month.'],,1
ամորձատել,verb,['to castrate.'],,3
ամուր,adj,"['durable, strong, solid.']",,1
ամփոփում,noun,"['summary condensed presentation of the substance of a body of material.', 'summary (condensed prese",,2
այբբենարան,noun,"['primer, ABC book the book used to teach the alphabet.', 'primer, ABC book (the book used to teach ",,3
այբուբեն,noun,['alphabet.'],,2
այդպես,adv,"['so, that way, thus.']",,2
այլափառ,adj,"['heterodox, differing in opinion.']",,2
այլմոլորակային,adj,"['extraterrestrial.', 'alien, extraterrestrial.']",,3
այտուց,noun,"['pathology swelling; edema.', '(pathology) swelling; edema.']",,2
ան,pron,"['personal he, she.', '(personal) he, she.']",,1
անապեստ,noun,"['anapest.', '(poetry) anapest.']",,2
անասուն,noun,"['animal, beast.', 'animal, beast (usually a farm animal).', '(derogatory) brute, beast (used as a g",,2
անատակ,adj,"['dialectal bottomless; very deep.', '(dialectal) bottomless; very deep.']",,2
անբոքսինգ,adj,['unboxing.'],,3
անգ,noun,"['dialectal handle of a pot.', '(dialectal) handle of a pot.', '(dialectal) ring on the edge of a sa",,1
անգեղ,adj,"['dated ugly, deformed.', '(dated) ugly, deformed.']",,1
անդամահատել,verb,"['transitive to amputate.', '(transitive) to amputate.']",,3
անդեորդ,noun,"['archaic herdsman, shepherd.', '(archaic) herdsman, shepherd.', '(archaic, astronomy) Boötes.']",,2
անդոհական,adj,"['archaic, poetic disquieting, dreadful.', '(archaic, poetic) disquieting, dreadful.']",,3
անդորր,adj,"['quiet, serenity, peace, calm.', 'quiet, serene, peaceful, calm.']",,2
անդրանիկ,adj,"['firstborn.', '(dated) only child, child without siblings.', '(dated) having no siblings.', '(figur",,2
անդրուար,noun,"['dated cart, wagon.', '(dated) cart, wagon.', '(dated) horse or mule yoked to a cart.']",,2
անել,verb,['to do.'],,1
աներկյուղանալ,verb,"['to become fearless, brave.']",,3
անթայր,noun,"['dated anthrax.', '(dated) anthrax.']",,2
անիծ,noun,"['nit, louse egg.']",,1
անկախ,adj,['independent.'],,1
անկանել,verb,"['archaic, transitive to lay the groundwork of lace; to weave; to twine.', '(archaic, transitive) to",,2
անկլավ,noun,['enclave.'],,2
անհաղթելի,adj,"['invincible, unconquerable.']",,3
անհամ,adj,"['tasteless.', '(figuratively) banal, insipid.']",,1
անհամեստություն,noun,"['immodesty, lack of modesty.', 'indiscretion, indelicacy.']",,3
անհայտ,adj,"['unknown.', '(algebra) unknown.']",,2
անհաջող,adj,"['unsuccessful, failed.', 'unlucky.', 'infelicitous, unfortunate.']",,2
անհեռանկարային,adj,"['having no prospects, unpromising, hopeless, futile, gloomy, dark.']",,3
անձավ,noun,['cave.'],,1
անձեռոցիկ,noun,"['napkin, serviette.']",,3
անձրև,noun,['rain.'],,1
անճար,adj,"['helpless, poor, wretched.', 'useless, inept.', '(dialectal) incurable, remediless.', 'wretch.', 'o",,1
անշշուկ,adj,"['silent, noiseless.', 'silently, noiselessly.']",,2
անոթի,adj,"['hungry.', '(figuratively) poor, destitute.', 'on an empty stomach.']",,1
անորոշ,adj,"['indefinite, indistinct, vague.']",,2
անութ,noun,['armpit.'],,1
անույշ,adj,"['dated alternative form of անուշ.', '(dated) alternative form of անուշ (anuš).']",,2
անուն,noun,"['name.', 'given name, first name.', 'title, denomination.', 'prestige.']",,1
անուշ,adj,"['sweet.', 'pleasant, agreeable.']",,1
անուշակ,adj,"['pleasant, agreeable.']",,2
անուշահոտություն,noun,['sweet smell.'],,3
անուր,noun,"['collar for animals.', 'collar (for animals).', '(figuratively) oppression, yoke.']",,1
անջրպետ,noun,"['bar, barrier, obstacle; partition.']",,2
անսարքություն,noun,"['failure, breakdown, malfunction, defect, disrepair.']",,3
անվախ,adj,"['fearless.', 'fearlessly.']",,1
անվանում,noun,"['name, title.']",,2
անվրդովություն,noun,"['imperturbability, composure.']",,3
անտառային կզաքիս,,['pine marten.'],,3
անտեր,adj,"[""ownerless, no man's; unattended; abandoned."", '(colloquial) damned, darned.']",,1
անտիցիկլոն,noun,['anticyclone.'],,3
անցողական,adj,"['transitory, temporary.', '(grammar) transitive.']",,3
անօդաչու,adj,"['unmanned of aerial vehicles.', 'unmanned (of aerial vehicles).', '(colloquial) ellipsis of անօդաչո",,2
աշխարհակալ,adj,"['great conqueror; emperor.', 'ruling an empire.']",,3
աշխարհաքաղաքական,adj,['geopolitical.'],,3
աշտանակ,noun,['candlestick.'],,2
