Armenian Word,Part of Speech,Definition,New Etymology (English),Relation,Source Language,Cognates,PIE Root
աբոնենտ,noun,"""['subscriber.']"",,,,,",From Russian via international vocabulary.,loanword,Russian,--,unknown
աբսուրդ,adj,"""['absurdity, nonsense.', 'absurd.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ագահաբար,adv,"""['greedily, avidly.', 'eagerly.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ագարակ,noun,"""['farm; farmstead.', '(historical) landed estate.', '(historical) single-homestead settlement, khuto"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ագուցել,verb,"""['transitive to fit in, to joint, to enchase.', '(transitive) to fit in, to joint, to enchase.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ագրեսիա,noun,"""['aggression.', '(international law) war of aggression.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ադալաթ,noun,"""['justice, fairness.']"",,,,,",Borrowed from Arabic (often via Persian or Turkish).,loanword,Arabic,--,unknown
ազատել,verb,"""['to free.']"",,,,,",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազատլամա,noun,"""['dialectal, Karin, Sebastia liberation.', '(dialectal, Erzurum, Sivas) liberation.', '(dialectal) d"",,,,,",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազգաբան,noun,"""['ethnologist.', 'genealogist.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազգական,noun,"""['relation, relative; kinsman; kinswoman; kindred, kinsfolk.']"",,,,,",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
ալյումին,noun,"""['aluminum.']"",,,,,",Borrowed from Arabic (often via Persian or Turkish).,loanword,Arabic,--,unknown
ալրաղաց,noun,"""['gristmill.', 'flour mill, gristmill.']"",,,,,",Borrowed from Arabic (often via Persian or Turkish).,loanword,Arabic,--,unknown
ախոյան,noun,"""['formal adversary, foe.', '(formal) adversary, foe.', '(sports) competitor, contestant.', '(sports,"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ախռաննիկ,noun,"""[""“Do, you think about yourself and give it to us, now there is no water, but the harvest will be ou"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ածիլել,verb,"""['transitive to shave.', '(transitive) to shave.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ածխաջուր,noun,"""['carbohydrate.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ականանետ,noun,"""['military mortar, trench mortar lightweight, often portable artillery piece which transmits recoil "",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ակնարկ,noun,"""['essay, overview literary genre.', 'essay, overview (literary genre).', 'hint, suggestion, allusion"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
