title,part_of_speech,definition,new_etymology,relation,source_language,cognates,pie_root
փախիլ,verb,"['to flee, to escape, to get away, to run away, to fly, to take flight, to desert, to fly off.']",,,,,
փաշայ,noun,"['pasha, the title of a Turkish officer of high rank.']",,,,,
փափաք,noun,"['wish, desire, eagerness, longing.']",,,,,
փշրիլ,verb,"['փշրուիլ, փշրիլ (to break, to be broken to pieces, to dash, to split.']",,,,,
փրթիլ,verb,"['to be broken off, to break off, to be detached, to snap, to come off.']",,,,,
քմայք,noun,"['caprice, whim, freak.']",,,,,
օճախ,noun,"['fireplace; stove, furnace; home, family.']",,,,,
օրէնք,noun,"['law.']",,,,,
օրրան,noun,"['cot, cradle.']",,,,,
օփերա,noun,"['opera.']",,,,,
