Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6
<letter>Ա</letter> (aïp)	այբի, բից	s.	the first letter & the first vowel of the alphabet; one, first; It is sometimes changed for ե, է, ը & օ, as, աղտիւր — եղտիւր, Եւրոպա — Եւրոպէ, անկողին — ընկողին, աճառ — օճառ, And sometimes it is used for ornament, as, ատեամ — ատեմ, ղեակ — ղեկ.										
Ա՜	Ա՜ա	int.	ah! oh! alas! oh heavens ! ա՜ ա՜, տէր տէր, alas! o Lord god ! ա՜ Թշուառական, o miserable ! o villain ! o rascal !										
Աբ		s. adv.	the twelfth month of the Hebrews.										
Աբաս	ու	s.	father; abbot; cf. Աբբայ.										
Աբարբի		s.	euphorbium.										
Աբարբիոն		s.	cf. Աբարբի.										
Աբբայ	ի, ից	s.	abba, abbot, superior; ընդհանրական աբբայ —, abbot general; աբբայ հայր, cf. Աբբահայր.										
Աբբահայր	հօր	s.	cf. Աբբայ.										
Աբբայական	ի, աց	adj.	abbatial.										
Աբբայարան	աց	s.	abbey.										
Աբբայութիւն	ութեան	s.	abbey, abbacy, abbotship.										
Աբբանա		s.	Bamah, high place.										
Աբբաս	ու	s.	cf. Աբաս.										
Աբբասուհի	հւոյ, հեաց	s.	abbess, superioress.										
Աբեթ	ի	s.	tinder.										
Աբելուհի		s.	Abel's sister.										
Աբեղաթաղ		s.	monk's funeral.										
Աբեղայ	ից	s.	monk, friar; — լինել, to turn or become monk.										
Աբեղայական	ի, աց	adj.	monachal.										
Աբեղայաճաշ		s.	monk's food.										
Աբեղայութիւն	ութեան	s.	cf. Աբեղութիւն.										
Աբեղութիւն	ութեան	s.	monachism, monastic life										
Աբեղեան		s. pl.	monks.										
*Աբեղուկ		s. zool.	lark, tit-lark; երգէ —, the lark carols.										
Աբիոն	ացի	adj.	poor; Ebionitan;	np.	Ebion.								
Ագաթէս		s.	agate.										
Ագահ	ի, աց	adj.	avaricious, stingy, grasping, sordid; դժոխային —, very greedy or insatiable avaricious.										
Ագահաբար		adv.	avariciously, niggardly.										
Ագահամիտ		adj.	very covetous, griping, miserly.										
Ագահանամ	ացայ	vn.	to be avaricious, niggard, to save sordidly; to be sparing of, to hoard avariciously.										
Ագահեմ	եցի	vn.	to be avaricious, niggard, to save sordidly; to be sparing of, to hoard avariciously; — զագահութիւն, to be given to covetousness; — ի ժամանակն, to be sparing of one's time.										
Ագահութիւն	ութեան	s.	avarice, niggardliness, stinginess.										
Ագաղաղ		s.	cf. Աքաղաղ.										
Ագան		adj.	early-rising, diligent.										
Ագանելիք	լեաց	s.	clothes, attire, dress, garb, raiment.										
Ագանիմ	ագայ, ագիր, ագուցեալ	vn.	to clothe or dress oneself, to wear, to put on; to take lodgings, to pass the night, to sojourn, to dwell; to stay; — զրահս, to put on a breastplate or cuirass.										
Ագանովթ	այ	s.	liquid vessel.										
Ագապ	ի	s.	agapae, love-feasts.										
Ագատ	ի	adj.	bob-tailed; docked, tailless.										
Ագարակ	աց	s.	farm, land, field; country, village; — տեղիք, rural or country places.										
Ագարակաբաշխ		s.	farm-guardian, inspector.										
