title,part_of_speech,definition,suggested_etymology,source,notes
աբանոս,noun,['rare form of եբենոս (ebenos).'],,,
աբեղա,noun,"['dialectal forms recorded in dialectological notation.', 'abegha.', '(figuratively) hermit, recluse.']",,,
աբսորբել,verb,['to absorb.'],,,
ագաթ,noun,['agate.'],,,
ագահանալ,verb,['to become greedy.'],,,
ագահել,verb,"['to be avaricious, greedy.', 'to hoard avariciously.', 'to try to seize the property of others.']",,,
ագարակ,noun,"['farm; farmstead.', '(historical) landed estate.', '(historical) single-homestead settlement, khutor.']",,,
ագուցել,verb,"['transitive to fit in, to joint, to enchase.', '(transitive) to fit in, to joint, to enchase.']",,,
ազատել,verb,['to free.'],,,
ազատքեղ,noun,"['In colloquial Eastern Armenian, Russian is often used instead.', 'parsley, Petroselinum Hoffm. spp.']",,,
ազբ,noun,"['the movable frame of a loom with comb-like threads through which the threads of the woof pass.', 'warp.']",,,
ալրաղաց,noun,"['gristmill.', 'flour mill, gristmill.']",,,
ալքիմիա,noun,['alchemy.'],,,
ախորժակ,noun,"['appetite.', '(figuratively) wish, desire.']",,,
ախտ,noun,"['disease, illness.']",,,
ածիլել,verb,"['transitive to shave.', '(transitive) to shave.']",,,
ածխաջուր,noun,['carbohydrate.'],,,
ականանետ,noun,"['military mortar, trench mortar lightweight, often portable artillery piece which transmits recoil to a base plate.', '(military) mortar, trench mortar (lightweight, often portable artillery piece which transmits recoil to a base plate).']",,,
ականջ,noun,"['ear.', '(figuratively) hearing, ability to hear.', '(figuratively) spy, informant.', '(figuratively) anything that is ear-shaped or resembles an ear.', '(figuratively) shoehorn.', '(dialectal) eye (of a needle).', '(dialectal) leather bearing (on a spinning wheel).', '(dialectal) type of pastry shaped like an ear.']",,,
ակնածել,verb,"['to venerate, to revere, to respect.', '(rare) to feel scared, frightened, terrified.']",,,
ակնամոմ,noun,['propolis.'],,,
ակնարկ,noun,"['essay, overview literary genre.', 'essay, overview (literary genre).', 'hint, suggestion, allusion; innuendo.']",,,
ակնարկել,verb,"[""to give a look or move one's eyes as a message or signal."", 'to hint, to allude, to remind subtly.']",,,
ակնթարթ,noun,"['blink of an eye.', 'instant, second.']",,,
ակնկալել,verb,"['to expect, to anticipate, to hope.']",,,
ահաբեկել,verb,"['to scare, to frighten, to terrify.', 'to terrorize.']",,,
աղաղակ,noun,"['cry, shout; yell, scream.', 'uproar, noise.']",,,
աղաղակել,verb,"['to shout, to scream, to yell, to cry out.', '(archaic) to kvetch, to gripe (to remind frequently or complain).']",,,
աղամող,noun,"['tortuous, twisting; crooked, distorted.']",,,
աղանձ,noun,['roasted wheat and other cereals.'],,,
աղաչանք,noun,"['entreaty, supplication, earnest request.']",,,
աղաչել,verb,"['to entreat, to beg, to pray, to implore, to supplicate (for).']",,,
աղաջուր,noun,"['.ogg|a=Eastern Armenian}}.', 'brine.']",,,
աղավաղել,verb,"['to distort, to deform.', 'to distort (to reproduce inaccurately, e.g., a text).', '(rare) to destroy, to disturb.']",,,
աղատել,verb,"[', derives from onomatopoeic root , , on which see . This is accepted by J̌ahukyan with reservation. Martirosyan remarks that is not explained properly, however it may be the iterative suffix .', '(dialectal) to lament bitterly.']",,,
աղարտել,verb,"['to spoil, to ruin.', 'to distort, to twist; to misrepresent.', '(figuratively) to denigrate, to disparage.', '(archaic) to despise, to disdain.']",,,
աղբյուր,noun,"['spring, fountain, source of water.', 'the water flowing from a spring.', 'a structure built upon a spring.', '(figuratively) source (place of origin of something).', '(figuratively) source of information.']",,,
աղմկել,verb,['to make a noise; to be noisy.'],,,
աղյուսակ,noun,"['table grid of data arranged in rows and columns.', 'table (grid of data arranged in rows and columns).']",,,
աղոթել,verb,['to pray.'],,,
աղոթք,noun,['prayer.'],,,
աղջիկ,noun,"['girl, young woman.', 'little girl; girlie.', '(colloquial) daughter.', 'maidservant, housemaid.', '(card games) queen.']",,,
աղտոտել,verb,"['transitive to soil, to sully, to dirty.', '(transitive) to soil, to sully, to dirty.']",,,
աճապարել,verb,"['to hurry, to rush, to hasten.']",,,
աճեցնել,verb,"['to grow, cultivate, breed.', 'causative of աճել (ačel).']",,,
ամայանալ,verb,"['to become deserted, uninhabited.', 'to become evacuated, vacated.', '(figuratively) to become empty, meaningless, devoid.']",,,
ամաչել,verb,"['intransitive to be ashamed (of).', '(intransitive) to be ashamed (of).', '(intransitive) to feel shy.']",,,
ամբարտակ,noun,"['dam, dike, weir.']",,,
ամիս,noun,['month.'],,,
ամոթույք,noun,"['anatomy vulva.', '(anatomy) vulva.']",,,
ամպ,noun,"['cloud.', '(figuratively) sorrow, grief.']",,,
