title,inflected_base,part_of_speech,priority,reason,has_meaningful_etymology,has_weak_only_etymology,inferred_confidences,current_sources,query_terms,target_adapters
աբխազերենի,,noun,110,missing-etymology,False,False,,,աբխազերենի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
աբխազի,,noun,110,missing-etymology,False,False,,,աբխազի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ագրեսիայի,,noun,110,missing-etymology,False,False,,,ագրեսիայի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ագրեսիայից,,noun,110,missing-etymology,False,False,,,ագրեսիայից,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ագրեսիայով,,noun,110,missing-etymology,False,False,,,ագրեսիայով,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ագրեսիայում,,noun,110,missing-etymology,False,False,,,ագրեսիայում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ագրեսիաներում,,noun,110,missing-etymology,False,False,,,ագրեսիաներում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ազգեր,,noun,110,missing-etymology,False,False,,,ազգեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ազգերի,,noun,110,missing-etymology,False,False,,,ազգերի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ազդող,,verb,110,missing-etymology,False,False,,,ազդող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ածը,,noun,110,missing-etymology,False,False,,,ածը,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
աղեր,,noun,110,missing-etymology,False,False,,,աղեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ամբողջությամբ,,noun,110,missing-etymology,False,False,,,ամբողջությամբ,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ամպեր,,noun,110,missing-etymology,False,False,,,ամպեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ամպերի,,noun,110,missing-etymology,False,False,,,ամպերի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ամպերում,,noun,110,missing-etymology,False,False,,,ամպերում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ամպի,,noun,110,missing-etymology,False,False,,,ամպի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ամպում,,noun,110,missing-etymology,False,False,,,ամպում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ամսվա,,noun,110,missing-etymology,False,False,,,ամսվա,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ամրագրվել,,verb,110,missing-etymology,False,False,,,ամրագրվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
այծեր,,noun,110,missing-etymology,False,False,,,այծեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
այրեր,,noun,110,missing-etymology,False,False,,,այրեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
այցեր,,noun,110,missing-etymology,False,False,,,այցեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
անդամալուծվել,,verb,110,missing-etymology,False,False,,,անդամալուծվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
անդամահատվել,,verb,110,missing-etymology,False,False,,,անդամահատվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
անձեր,,noun,110,missing-etymology,False,False,,,անձեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
անձինք,,noun,110,missing-etymology,False,False,,,անձինք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
