title,part_of_speech,definition,suggested_etymology,source,notes,likely_origin
աբանոս,noun,['rare form of եբենոս (ebenos).'],,,,Unknown
աբեղա,noun,"['dialectal forms recorded in dialectological notation.', 'abegha.', '(figuratively) hermit, recluse.']",,,,Unknown
աբսորբել,verb,['to absorb.'],,,,Unknown
ագաթ,noun,['agate.'],,,,Unknown
ագահանալ,verb,['to become greedy.'],,,,Unknown
ագահել,verb,"['to be avaricious, greedy.', 'to hoard avariciously.', 'to try to seize the property of others.']",,,,Unknown
ագարակ,noun,"['farm; farmstead.', '(historical) landed estate.', '(historical) single-homestead settlement, khutor.']",,,,Unknown
ագուցել,verb,"['transitive to fit in, to joint, to enchase.', '(transitive) to fit in, to joint, to enchase.']",,,,Unknown
ազատել,verb,['to free.'],,,,Unknown
ազատքեղ,noun,"['In colloquial Eastern Armenian, Russian is often used instead.', 'parsley, Petroselinum Hoffm. spp.']",Borrowed from Russian петрушка?,,,Russian
ազբ,noun,"['the movable frame of a loom with comb-like threads through which the threads of the woof pass.', 'warp.']",,,,Unknown
ալրաղաց,noun,"['gristmill.', 'flour mill, gristmill.']",,,,Unknown
ալքիմիա,noun,['alchemy.'],,,,Unknown
ախորժակ,noun,"['appetite.', '(figuratively) wish, desire.']",,,,Unknown
ախտ,noun,"['disease, illness.']",,,,Unknown
ածիլել,verb,"['transitive to shave.', '(transitive) to shave.']",,,,Unknown
ածխաջուր,noun,['carbohydrate.'],,,,Unknown
ականանետ,noun,"['military mortar, trench mortar lightweight, often portable artillery piece which transmits recoil to a base plate.', '(military) mortar, trench mortar (lightweight, often portable artillery piece which transmits recoil to a base plate).']",,,,Unknown
ականջ,noun,"['ear.', '(figuratively) hearing, ability to hear.', '(figuratively) spy, informant.', '(figuratively) anything that is ear-shaped or resembles an ear.', '(figuratively) shoehorn.', '(dialectal) eye (of a needle).', '(dialectal) leather bearing (on a spinning wheel).', '(dialectal) type of pastry shaped like an ear.']",,,,Unknown
ակնածել,verb,"['to venerate, to revere, to respect.', '(rare) to feel scared, frightened, terrified.']",,,,Unknown
ակնամոմ,noun,['propolis.'],,,,Unknown
ակնարկ,noun,"['essay, overview literary genre.', 'essay, overview (literary genre).', 'hint, suggestion, allusion; innuendo.']",,,,Unknown
ակնարկել,verb,"[""to give a look or move one's eyes as a message or signal."", 'to hint, to allude, to remind subtly.']",,,,Unknown
ակնթարթ,noun,"['blink of an eye.', 'instant, second.']",,,,Unknown
ակնկալել,verb,"['to expect, to anticipate, to hope.']",,,,Unknown
ահաբեկել,verb,"['to scare, to frighten, to terrify.', 'to terrorize.']",,,,Unknown
աղաղակ,noun,"['cry, shout; yell, scream.', 'uproar, noise.']",,,,Unknown
աղաղակել,verb,"['to shout, to scream, to yell, to cry out.', '(archaic) to kvetch, to gripe (to remind frequently or complain).']",,,,Unknown
աղամող,noun,"['tortuous, twisting; crooked, distorted.']",,,,Unknown
աղանձ,noun,['roasted wheat and other cereals.'],,,,Unknown
աղաչանք,noun,"['entreaty, supplication, earnest request.']",,,,Unknown
աղաչել,verb,"['to entreat, to beg, to pray, to implore, to supplicate (for).']",,,,Unknown
աղաջուր,noun,"['.ogg|a=Eastern Armenian}}.', 'brine.']",From Old Armenian աղաջուր,,,Armenian
աղավաղել,verb,"['to distort, to deform.', 'to distort (to reproduce inaccurately, e.g., a text).', '(rare) to destroy, to disturb.']",,,,Unknown
աղատել,verb,"[', derives from onomatopoeic root , , on which see . This is accepted by J̌ahukyan with reservation. Martirosyan remarks that is not explained properly, however it may be the iterative suffix .', '(dialectal) to lament bitterly.']",,,,Unknown
աղարտել,verb,"['to spoil, to ruin.', 'to distort, to twist; to misrepresent.', '(figuratively) to denigrate, to disparage.', '(archaic) to despise, to disdain.']",,,,Unknown
աղբյուր,noun,"['spring, fountain, source of water.', 'the water flowing from a spring.', 'a structure built upon a spring.', '(figuratively) source (place of origin of something).', '(figuratively) source of information.']",,,,Unknown
աղմկել,verb,['to make a noise; to be noisy.'],,,,Unknown
աղյուսակ,noun,"['table grid of data arranged in rows and columns.', 'table (grid of data arranged in rows and columns).']",,,,Unknown
աղոթել,verb,['to pray.'],,,,Unknown
աղոթք,noun,['prayer.'],,,,Unknown
աղջիկ,noun,"['girl, young woman.', 'little girl; girlie.', '(colloquial) daughter.', 'maidservant, housemaid.', '(card games) queen.']",,,,Unknown
աղտոտել,verb,"['transitive to soil, to sully, to dirty.', '(transitive) to soil, to sully, to dirty.']",,,,Unknown
աճապարել,verb,"['to hurry, to rush, to hasten.']",,,,Unknown
աճեցնել,verb,"['to grow, cultivate, breed.', 'causative of աճել (ačel).']",,,,Unknown
ամայանալ,verb,"['to become deserted, uninhabited.', 'to become evacuated, vacated.', '(figuratively) to become empty, meaningless, devoid.']",,,,Unknown
ամաչել,verb,"['intransitive to be ashamed (of).', '(intransitive) to be ashamed (of).', '(intransitive) to feel shy.']",,,,Unknown
ամբարտակ,noun,"['dam, dike, weir.']",,,,Unknown
ամիս,noun,['month.'],,,,Unknown
ամոթույք,noun,"['anatomy vulva.', '(anatomy) vulva.']",,,,Unknown
ամպ,noun,"['cloud.', '(figuratively) sorrow, grief.']",,,,Unknown
ամփոփել,verb,"['transitive to summarize, sum up, recapitulate.', '(transitive) to summarize, sum up, recapitulate.']",,,,Unknown
այբ,noun,"['the name of the Armenian letter ա.', 'the name of the Armenian letter ա (a).']",From Old Armenian այբ,,,Armenian
այծյամ,noun,"['roe deer.', 'buck, hart.', 'chamois.']",,,,Unknown
այծքաղ,noun,['antelope.'],,,,Unknown
այտ,noun,"['somewhat, formal cheek.', '(somewhat formal) cheek.']",,,,Unknown
այտուց,noun,"['pathology swelling; edema.', '(pathology) swelling; edema.']",,,,Unknown
այցելել,verb,['to visit.'],,,,Unknown
անապեստ,noun,"['anapest.', '(poetry) anapest.']",,,,Unknown
անգ,noun,"['dialectal handle of a pot.', '(dialectal) handle of a pot.', '(dialectal) ring on the edge of a sack for wheat.']",,,,Unknown
անդեորդ,noun,"['archaic herdsman, shepherd.', '(archaic) herdsman, shepherd.', '(archaic, astronomy) Boötes.']",,,,Unknown
անդրուար,noun,"['dated cart, wagon.', '(dated) cart, wagon.', '(dated) horse or mule yoked to a cart.']",,,,Unknown
անել,verb,['to do.'],,,,Unknown
աներձագ,noun,"['brother-in-law wife’s brother.', 'brother-in-law (wife’s brother).']",,,,Unknown
անթայր,noun,"['dated anthrax.', '(dated) anthrax.']",,,,Unknown
անիծ,noun,"['nit, louse egg.']",,,,Unknown
անիծել,verb,"['transitive to curse, damn.', '(transitive) to curse, damn.']",,,,Unknown
անկանել,verb,"['archaic, transitive to lay the groundwork of lace; to weave; to twine.', '(archaic, transitive) to lay the groundwork of lace; to weave; to twine.', '(archaic, intransitive) alternative form of ընկնել (ənknel).']",From Old Armenian անկանել,,,Armenian
անձ,noun,"['person.', '(law) entity.', 'personality.', '(colloquial) fellow.', '(ironic) bigwig.']",,,,Unknown
անձավ,noun,['cave.'],,,,Unknown
անձեռոց,noun,['napkin.'],,,,Unknown
