title,part_of_speech,definition,current_etymology,suggested_action
-ապես,,['Forming adverbs. Corresponds to -ly.'],Etymology needs research - no usable data found,check wikitext
-իկ,,['forming diminutives or terms expressing affection.'],Etymology needs research - no usable data found,check wikitext
Ալլահ,proper noun,['Allah.'],Etymology needs research - no usable data found,check wikitext
Ատալիա,proper noun,"['Attalia.', 'Attalia (an ancient city in modern Turkey; modern Antalya).']",Etymology needs research - no usable data found,check wikitext
Բաբաջանյան,proper noun,"['Babajanian, Babajanyan.', 'a surname originating as a patronymic, Babajanian, Babajanyan.']",Etymology needs research - no usable data found,check wikitext
Դանիա,proper noun,"['Denmark.', 'Denmark (a country in Northern Europe).']",Etymology needs research - no usable data found,check wikitext
Լիպարիտ,proper noun,"['A male given name.', 'a male given name, Liparit or Libarid.']",Etymology needs research - no usable data found,check wikitext
Կասպք,proper noun,['Caspiane.'],Etymology needs research - no usable data found,check wikitext
Հերովդես,proper noun,"['biblical character Herod.', '(biblical) Herod.']",Etymology needs research - no usable data found,check wikitext
Մանանդյան,proper noun,"['Manandyan, Manandian.', 'a surname originating as a matronymic, Manandyan, Manandian.']",Etymology needs research - no usable data found,check wikitext
Մեմնոն,proper noun,"['Greek mythology Memnon.', '(Greek mythology) Memnon.']",Etymology needs research - no usable data found,check wikitext
Մսըր,proper noun,"[', Armenia|year=1468|quote=KANK[NE]Tsi CROSS[S] TO the crown [and] TO the crown.', '(dialectal) Egypt (a country in North Africa and Western Asia).', '(obsolete) a male given name.']",Etymology needs research - no usable data found,check wikitext
ՆԱՏՕ,proper noun,['NATO.'],Etymology needs research - no usable data found,check wikitext
Նիկողայոս,proper noun,"['A male given name.', 'a male given name, Nikoghayos or Nigoghayos, equivalent to English Nicholas.']",Etymology needs research - no usable data found,check wikitext
Չուխաջյան,proper noun,"['A surname, from occupations.', 'a surname originating as an occupation.']",Etymology needs research - no usable data found,check wikitext
Չոփուրյան,proper noun,"['A surname, from nicknames.', 'a surname transferred from the nickname.']",Etymology needs research - no usable data found,check wikitext
Պարմենիդես,proper noun,['Parmenides.'],Etymology needs research - no usable data found,check wikitext
Պինդարոս,proper noun,['Pindar.'],Etymology needs research - no usable data found,check wikitext
Պյութագորաս,proper noun,['Pythagoras.'],Etymology needs research - no usable data found,check wikitext
Ջամբազյան,proper noun,"['A surname, from occupations.', 'a surname originating as an occupation.']",Etymology needs research - no usable data found,check wikitext
Սիմոնիդես,proper noun,['Simonides.'],Etymology needs research - no usable data found,check wikitext
Սղերդ,proper noun,"['Siirt.', 'Siirt (a city in Turkey).']",Etymology needs research - no usable data found,check wikitext
Սոկրատես,proper noun,['Socrates.'],Etymology needs research - no usable data found,check wikitext
Քալանթարյան,proper noun,"['A surname, from patronymics.', 'a surname originating as a patronymic.']",Etymology needs research - no usable data found,check wikitext
Քսենոկրատես,proper noun,['Xenocrates.'],Etymology needs research - no usable data found,check wikitext
Օդաբաշյան,proper noun,"['A surname, from occupations.', 'a surname originating as an occupation.']",Etymology needs research - no usable data found,check wikitext
Օտտավա,proper noun,"['Ottawa.', 'Ottawa (a city in Ontario, Canada; the capital city of Canada).']",Etymology needs research - no usable data found,check wikitext
Օրբելյան,proper noun,"['historical Orbelian a member of the Orbelian noble family.', 'a surname.', '(historical) Orbelian (a member of the Orbelian noble family).']",Etymology needs research - no usable data found,check wikitext
աբա,noun,aba coarse fabric woven from goat and camel hair.,Etymology needs research - no usable data found,check wikitext
աբասի,noun,"['historical abbasi (silver coin in Persia).', '(historical) abbasi (silver coin in Persia).', '(historical) abazi (silver coin in Georgia).', '(historical) abbasi (coin worth 20 kopeks in Transcaucasia).']",Etymology needs research - no usable data found,check wikitext
աբլա,noun,"['Erzurum lady, mother, elder sister (used as a respectful term).', '(Erzurum) lady, mother, elder sister (used as a respectful term).']",Etymology needs research - no usable data found,check wikitext
աբսորբել,verb,['to absorb.'],Etymology needs research - no usable data found,check wikitext
ադամանդ,noun,['diamond.'],Etymology needs research - no usable data found,check wikitext
աթթար,noun,"['dealer in herbs, perfumery and other small merchandise.']",Etymology needs research - no usable data found,check wikitext
աժդահա,adj,"['monstrous giant.', 'giant, huge, gigantic, monstrous, gargantuan.', 'Herculean, mighty, strapping, brawny.']",Etymology needs research - no usable data found,check wikitext
ալ,adj,alternative form of email.,Etymology needs research - no usable data found,check wikitext
ալաժահրի,noun,"[', recorded as alaschari.', 'buckthorn, Rhamnus.']",Etymology needs research - no usable data found,check wikitext
ալամ,noun,"['dialectal world; universe.', '(dialectal) world; universe.']",Etymology needs research - no usable data found,check wikitext
ալմաս,noun,alternative form of diamond.,Etymology needs research - no usable data found,check wikitext
ալոճ,noun,"[']} alchemy|refn=<ref></ref>}}.', 'hawthorn berry, haw, fruit of hawthorn.']",Etymology needs research - no usable data found,check wikitext
ալքիմիա,noun,['alchemy.'],Etymology needs research - no usable data found,check wikitext
ախմախ,adj,"['Your mind is a mess, your mind is a mess |refn=<ref></ref>}}.', 'stupid, foolish, unintelligent.']",Etymology needs research - no usable data found,check wikitext
ակռա,noun,"['Western Armenian tooth.', '(Western Armenian) tooth.']",Etymology needs research - no usable data found,check wikitext
աղա,noun,historical landowner.,Etymology needs research - no usable data found,check wikitext
աղատել,verb,"[', derives from onomatopoeic root , , on which see . This is accepted by J̌ahukyan with reservation. Martirosyan remarks that is not explained properly, however it may be the iterative suffix .', '(dialectal) to lament bitterly.']",Etymology needs research - no usable data found,check wikitext
աղեղ,noun,"['bow, longbow.', '(geometry) arc, arch.', '(music) fiddlestick.', 'agate (gem).']",Etymology needs research - no usable data found,check wikitext
աճռել,verb,"['transitive to rub.', '(transitive) to rub.', '(transitive) to soap.']",Etymology needs research - no usable data found,check wikitext
ամեն,intj,"['each, every.', 'all.', '(religion) amen.']",Etymology needs research - no usable data found,check wikitext
այրան,noun,['airan.'],Etymology needs research - no usable data found,check wikitext
աներ,noun,"father-in-law, wife's father.",Etymology needs research - no usable data found,check wikitext
անիսոն,noun,"['anise, plant and seed.', 'anise, Pimpinella anisum (plant and seed).']",Etymology needs research - no usable data found,check wikitext
անսովոր,adj,"['unused, unaccustomed.', 'unusual, strange, odd.']",Etymology needs research - no usable data found,check wikitext
անվերջ,adj,"['never-ending, endless, infinite, perpetual.', 'endlessly, continuously.', 'constantly.']",Etymology needs research - no usable data found,check wikitext
անտիկ,adj,"['antique (of or pertaining to Greek or Roman culture, art, or society).', '(figuratively) antique, classic.']",Etymology needs research - no usable data found,check wikitext
առվույտ,noun,"['alfalfa, lucerne.', 'alfalfa, lucerne, Medicago sativa.']",Etymology needs research - no usable data found,check wikitext
ասլի,adj,"['dialectal, Moks, of plants taken root.', '(dialectal, Moks, of plants) taken root.']",Etymology needs research - no usable data found,check wikitext
արճիճ,noun,"['lead metal.', 'lead (metal).', 'lead bullet.']",Etymology needs research - no usable data found,check wikitext
արտորալ,verb,"['dialectal forms recorded in dialectological notation.', '(intransitive) to hurry, to make haste.']",Etymology needs research - no usable data found,check wikitext
արքատ,noun,"['Ararat superfluous branches cut off from vine and used for kindling.', '(Ararat) superfluous branches cut off from vine and used for kindling.']",Etymology needs research - no usable data found,check wikitext
ափսոս,adj,"['alas!, what a pity!', 'regret.', 'pitiable.']",Etymology needs research - no usable data found,check wikitext
բազազ,noun,"['archaic, dialectal dealer in textile fabrics, draper.', '(archaic, dialectal) dealer in textile fabrics, draper.']",Etymology needs research - no usable data found,check wikitext
բալ,noun,"['sour cherry fruit.', 'sour cherry (fruit).', 'fog.', '(dialectal) white fleck.', 'point, mark, grade, score, magnitude.', 'ball, dance.']",Etymology needs research - no usable data found,check wikitext
բալակլավա,noun,"['balaclava headgear.', 'balaclava (headgear).']",Etymology needs research - no usable data found,check wikitext
բահայի,noun,['Baháʼí / [Non-English or unclear definition removed.].'],Etymology needs research - no usable data found,check wikitext
բաշիբոզուկ,noun,"['historical bashi-bazouk an irregular soldier of the Ottoman army.', '(historical) bashi-bazouk (an irregular soldier of the Ottoman army).', '(by extension) any Turkish or Azeri soldier.', '(by extension) disorderly, undisciplined person; brigand.']",Etymology needs research - no usable data found,check wikitext
բասկետբոլ,noun,['basketball.'],Etymology needs research - no usable data found,check wikitext
բաստուրմա,noun,"['bastirma, pastirma.']",Etymology needs research - no usable data found,check wikitext
բար,noun,"['the fruit of trees.', 'the first fruit of trees.', 'bar (a counter in a pub, restaurant, or café).', 'bar (an establishment where alcohol is served).']",Etymology needs research - no usable data found,check wikitext
բարակ,adj,"['dialectal forms recorded in dialectological notation.', 'thin.', 'narrow.', 'fine, delicate.', 'a kind of hunting dog.']",Etymology needs research - no usable data found,check wikitext
բարիշել,verb,"[""to make one's peace (with), to be reconciled (with)."", 'to come to an agreement (especially around a price).']",Etymology needs research - no usable data found,check wikitext
բարութ,noun,"['dialectal gunpowder.', '(dialectal) gunpowder.']",Etymology needs research - no usable data found,check wikitext
բաց,adj,"['open, not closed.', '(of color) light.', 'open, receptive.', 'Bats (language).']",Etymology needs research - no usable data found,check wikitext
բեսիրաթ,adj,"['lawless, impious.']",Etymology needs research - no usable data found,check wikitext
բիզոն,noun,"['bison, American buffalo.']",Etymology needs research - no usable data found,check wikitext
բիձա,noun,"['dialectal, Ararat, Tbilisi, Karin paternal uncle.', '(dialectal, Ararat, Tbilisi, Erzurum) paternal uncle.', '(Javakheti, colloquial) a form of address to an older man; uncle, sir.']",Etymology needs research - no usable data found,check wikitext
բլբուլ,adj,"['poetic nightingale.', '(poetic) nightingale.', '(figuratively) mealy-mouthed, smooth-tongued person.', '(figuratively) mealy-mouthed, smooth-tongued; eloquent.']",Etymology needs research - no usable data found,check wikitext
բլղուր,noun,['bulgur.'],Etymology needs research - no usable data found,check wikitext
բյորեկ,noun,"['borek, burek.']",Etymology needs research - no usable data found,check wikitext
բոլուկ,noun,"['group of animals or soldiers.', 'group (of animals or soldiers).']",Etymology needs research - no usable data found,check wikitext
բողջոց,noun,"['Tigranakert swelling, tumour, wound.', '(Diyarbakır) swelling, tumour, wound.']",Etymology needs research - no usable data found,check wikitext
բոյ,noun,"['colloquial height, stature of a person.', '(colloquial) height, stature of a person.']",Etymology needs research - no usable data found,check wikitext
բոշ,adj,"['empty, unoccupied, free, vacant.', 'idle, unoccupied, unemployed.', 'useless.', 'loose, untethered.']",Etymology needs research - no usable data found,check wikitext
բուկ,noun,"['dialectal throat.', '(dialectal) throat.', '(dialectal) neck.', '(Kharberd) swallow, draught, gulp.', '(Karabakh) the pipe of the funnel.']",Etymology needs research - no usable data found,check wikitext
