title,etymology,reason
-ածո,From Old Armenian -adjective,lost_meaning
-ան,"From , from .",short
-ան-,"From , from .",short
-ապես,"From , from .",short
-ավոր,"From , from .",short
-իկ,", from .",short
-իչ,"From , from .",short
-ող,"From , .",short
-ուկ,"From , from .",short
-պան,"From , from .",short
Ալբերտ,"From , from .",short
Ալիև,"From , from .",short
Ալլահ,"From , from .",short
Ախալքալաք,Adaptation of.,short
Անտիոքոս,"From , from .",short
Ավագ,"From , from .",short
Ավանիսյան,A variant of.,short
Ատալիա,", from .",short
Արսեն,"From , from .",short
Բաբաջանյան,"From , from.",short
Բաթում,Adaptation of.,short
Բոստոն,"From , from .",short
Բուդաքյան,A variant of.,short
Գաբիկյան,From |-yan}}.,short
Գալուստ,Shortening of.,short
Գենդալֆ,"From , via .",short
Գյուլեզյան,A variant of.,short
Դանիա,", from .",short
Դարակչյան,A variant of.,short
Դիշչյան,A variant of.,short
Երկվորյակներ,Plural of.,short
Զեյնալյան,From |-yan}}.,short
Զենջիրջյան,A variant of.,short
Էլչիբեյ,"From , from .",short
Էնֆիեճյան,A variant of.,short
Թելավ,Adaptation of.,short
Թռփանճյան,A variant of.,short
Իսկեճյան,A variant of.,short
Լիպարիտ,", from .",short
Խաչիյան,From |-yan}}.,short
Կակոսյան,From |-yan}}.,short
Կասպք,"From , from .",short
Կարակաշյան,A variant of.,short
Կարէն,. Akin to.,short
Կետիկյան,A variant of.,short
Կիկերոն,"From , from .",short
Կյուրեղ,"From , from .",short
Հալեպ,. Doublet of.,short
Համամջյան,A variant of.,short
Հերովդես,"From , from .",short
Հիսուս,"From , from .",short
Հունան,"From , from .",short
Ձկներ,Plural of.,short
Մադաթ,"From , from .",short
Մանանդյան,"From , from .",short
Մեմնոն,"From , from .",short
Միտիչյան,From |-yan}}.,short
Մուկուչյան,From |-yan}}.,short
Մսըր,"From , from .",short
Մցխեթ,Adaptation of.,short
ՆԱՏՕ,", from .",short
Նիկողայոս,"From , from .",short
Նոյ,"From , from .",short
Շառոյան,A variant of.,short
Ոդիսևս,"From , from .",short
Չարենցավան,", named after.",short
Չերնյան,Perhaps from.,short
Չուխաջյան,"From , from .",short
Չոփուրյան,"From , from .",short
Պարմենիդես,"From , from .",short
Պինդարոս,"From , from .",short
Պիսիստրատոս,"From ,.",short
Պլեթոն,A modern-era.,short
Պլինիոս,"From , from .",short
Պյութագորաս,"From , from .",short
Պյուռոս,"From , from .",short
Ջամբազյան,"From , from .",short
Ռոբերտ,"From , from .",short
Սարայդարյան,A variant of.,short
Սարոյան,From |-yan}}.,short
Սերայդարյան,A variant of.,short
Սիմոնիդես,"From , from .",short
Սլոյան,From |-yan}}.,short
Սղերդ,"From , .",short
Սոլոն,. Doublet of.,short
Սոկրատես,"From , from .",short
Սողոմոն,"From , from .",short
Սոս,"From , from .",short
Սուրամ,Adaptation of.,short
Վեզուվ,Adaptation of.,short
Վիքիպեդիա,Adaptation of.,short
Տաջիկստան,Adaptation of.,short
Տիմոթեոս,"From , from .",short
Տիշչյան,A variant of.,short
Տրայանոս,"From , from .",short
Փայլածու,"From , from .",short
Քալանթարյան,"From , from .",short
Քեմենչեջյան,Variant of.,short
Քյուրեկճյան,A variant of.,short
Քութայիս,Adaptation of.,short
Քսենոկրատես,"From , from .",short
Օդաբաշյան,"From , from .",short
Օտտավա,", from .",short
Օրբելյան,Akin to.,short
Ֆեյս,Shortening of.,short
Ֆերմանյան,A variant of.,short
աբա,From .,short
աբանոս,From .,short
աբասի,From .,short
աբլա,"From , .",short
աբոլիցիոնիզմ,From .,short
աբոյ,From .,short
աբորտ,From .,short
աբուռ,"From , from .",short
աբսոլյուտիզմ,From .,short
աբսորբել,From .,short
ադամանդ,", from .",short
ազիկ,From .,short
ազոտ,From .,short
աթաբեկ,"From , from .",short
աթեիստ,Adaptation of.,short
աթթար,"From , from .",short
աժդահա,From .,short
ալ,.,short
ալաժահրի,"From , from .",short
ալամ,From .,short
ալբոմ,From .,short
ալեկոծել,"From , .",short
ալիբի,From .,short
ալկաշ,From .,short
ալկիոն,From .,short
ալկոգել,From .,short
ալմանախ,From .,short
ալմաս,"From , from .",short
ալմաստ,"From , , .",short
ալյանս,From .,short
ալոճ,From .,short
ալտերնատիվ,Adaptation of.,short
ալքիմիա,From .,short
ախմախ,From .,short
ակնթարթ,From .,short
ակորդեոն,From .,short
ակուլա,From .,short
ակուշկա,From .,short
ակռա,From .,short
ակտինիում,From .,short
ակտիվ,Adaptation of.,short
ակրոպոլիս,From .,short
աղա,From .,short
աղատել,From .,short
աղեղ,.,short
աղվոր,"From , from .",short
աճեմ,"From , from .",short
աճռել,From .,short
աման,", from .",short
ամբաստանք,", plural of.",short
ամբարտավանել,"From , .",short
ամբիցիոզ,Adaptation of.,short
ամեն,.,short
ամիրա,"From , from .",short
ամնիստիա,From .,short
ամպել,"From , from .",short
այլք,", plural of.",short
այսբերգ,From .,short
այրան,From .,short
անգինա,From .,short
անեկդոտ,From .,short
աներ,.,short
աներձագ,From .,short
անթ,"From , .",short
անթրոպոմորֆիզմ,Adaptation of.,short
անիսոն,From .,short
անկեղծ,"From , from .",short
անկտի,The origin is.,short
անձեռնոցիկ,Influenced by.,short
անսովոր,"From , from .",short
անվերջ,", from .",short
անտիկ,From .,short
անցկացնել,Equivalent to.,short
անքաղաքավարություն,From modern.,short
աշկարա,From . .,short
ապարատ,From .,short
ապե,Shortening of.,short
ապեր,Diminutive of.,short
ապիկ,From .,short
առվույտ,From .,short
ասլի,"From , from .",short
ասկետիզմ,From .,short
ասման,or .,short
ասմինոգ,From .,short
ասսամի,From .,short
աստատ,From .,short
ավիացիա,From .,short
ավտո,From .,short
ավտոպարկ,From .,short
ավտոռեֆերատ,From .,short
ատդուշի,From .,short
ատեստատ,From .,short
արճիճ,From .,short
արսեն,Adaptation of.,short
արտասունք,"From , from ․.",short
արտորալ,From .,short
արքատ,From .,short
ափսար,From .,short
ափսոս,", from .",short
աֆերիստ,", itself from.",short
բաբան,"From , from .",short
բագաժնիկ,From .,short
բազա,From .,short
բազազ,"From , from .",short
բազալտ,From .,short
բալ,", from .",short
բալախ,"From , from .",short
բալակլավա,From .,short
բալնիցա,From .,short
բահայի,From .,short
բանդա,From .,short
բանկ,From .,short
բաշիբոզուկ,From .,short
բաջի,From .,short
բառադի,Perhaps from.,short
բասկետբոլ,", from .",short
բաստուրմա,From .,short
բար,.,short
բարակ,.,short
բարիշել,", from .",short
բարիում,From .,short
բարմեն,"From , from .",short
բարութ,From .,short
բաց,.,short
բենզին,From .,short
բեսեդկա,From .,short
բեսիրաթ,From .,short
բետոն,"From , from .",short
բերիլիում,From .,short
բիբլիոգրաֆիա,From .,short
բիզնես մոդել,From .,short
բիզոն,From .,short
բիթ,From .,short
բիձա,From .,short
բինտ,From .,short
բիչոկ,From .,short
բիրմաներեն,Adaptation of.,short
բիֆշտեքս,From .,short
բլբուլ,", from .",short
բլղուր,From .,short
բլոկ,From .,short
բլոկադա,From .,short
բլոտ,From .,short
բյորեկ,From .,short
բյուջետային,Adaptation of.,short
բոզ,", from .",short
բոլշևիկ,From .,short
բոլուկ,From .,short
բոկեղ,From .,short
բողջոց,From .,short
բոյ,From .,short
բոնուս,From .,short
բոշ,From .,short
բով,.,short
բորան,From .,short
բորիում,Adaptation of.,short
բորոտություն,From . .,short
բորսա,From .,short
բու,"From , from .",short
բուդ,",.<ref></ref>.",short
բուդդիզմ,From .,short
բուդկա,From .,short
բուլդոզեր,"From , from .",short
բուլկի,", plural of.",short
բուկ,From .,short
բումերանգ,From .,short
բուն,.,short
բունկեր,From .,short
բուստ,From .,short
բուրգեր,From .,short
բուրժուա,. Doublet of.,short
բուրժուազիա,From .,short
բոքս,From .,short
բռինչ,From .,short
բռնչի,From .,short
բրավո,", from .",short
բրդուճ,", from .",short
բրեցել,From .,short
բրիգադ,From .,short
բրիտվա,From .,short
գադոլինիում,From .,short
գալիում,From .,short
գալստուկ,From .,short
գամակ,"From , from .",short
գամփռ,From .,short
գանդոն,"From , from .",short
գաուչո,"From , from .",short
գաստնիցա,From .,short
գարաժ,", from .",short
գեղացի,From .,short
գեներալ,From .,short
գեպարդ,", from .",short
գեստապո,"From , from .",short
գետ,.,short
գերա-,"From , from .",short
գերմանիում,From .,short
գինի,", from .",short
գլանդ,From .,short
գլասնոստ,From .,short
գլոբալ,Adaptation of.,short
գյորմամիշ,From .,short
գյուրզա,", from . .",short
գնդակ,"From , from .",short
գնդապետ,"From , from .",short
գնոստիցիզմ,From .,short
գոլ,"From , from .",short
գոլորշի,"From , .",short
գործելի,"From , from .",short
գործընկեր,Compound of.,short
գուդա,.<ref></ref>.,short
գուլ,From .,short
գունդ,.,short
գռուզ,From .,short
գրազ,From . .,short
գրանտ,"From , from .",short
գրելկա,From .,short
գրոսմայստեր,From .,short
գրպան,", from .",short
դաբրո,From .,short
դազգահ,From .,short
դաժե,From .,short
դալբայոբ,From .,short
դաղալ,From .,short
դամոն,From .,short
դայրա,"From , from .",short
դաշինք,", plural of.",short
դասել,From .,short
դավա,From .,short
դավայ,From .,short
դարդլու,From .,short
դարթս,From .,short
դարմշտադիում,Adaptation of.,short
դե յուրե,From .,short
դե ֆակտո,From .,short
դեդլայն,From .,short
դեղ,", from .",short
դեղնակուրծք կզաքիս,Apparently a.,short
դեղնուց,From .,short
դեպի,"From , from .",short
դեստրուկտիվ,Adaptation of.,short
դերձան,Related to.,short
դեցիմետր,From .,short
դեֆիս,From .,short
դժվար,"From , from .",short
դին,", from .",short
դինոզավր,From .,short
դիպլոմ,From .,short
դիսերտացիա,From .,short
դիսկրիմինացիա,From .,short
դիսպաշեր,"From , from .",short
դիսպետչեր,From .,short
դիսպրոզիում,From .,short
դիվերգենցիա,From .,short
դիվերսիոն,Adaptation of.,short
դիրագ,From .,short
դիրիժոր,From .,short
դյուգոն,From .,short
դյուժին,From .,short
դյույմ,From .,short
դոժ,From .,short
դոլմեն,From .,short
