title,part_of_speech,definition,priority,suggested_etymology,source
աբանոս,noun,['rare form of եբենոս (ebenos).'],2,,
աբեղա,noun,"['dialectal forms recorded in dialectological notation.', 'abegha.', '(figuratively) hermit, recluse.']",1,,
աբսորբել,verb,['to absorb.'],2,,
ագաթ,noun,['agate.'],1,,
ագահանալ,verb,['to become greedy.'],2,,
ագահել,verb,"['to be avaricious, greedy.', 'to hoard avariciously.', 'to try to seize the property of others.']",2,,
ագարակ,noun,"['farm; farmstead.', '(historical) landed estate.', '(historical) single-homestead settlement, khutor.']",2,,
ագուցել,verb,"['transitive to fit in, to joint, to enchase.', '(transitive) to fit in, to joint, to enchase.']",2,,
ազատել,verb,['to free.'],2,,
ազբ,noun,"['the movable frame of a loom with comb-like threads through which the threads of the woof pass.', 'warp.']",1,,
ալրաղաց,noun,"['gristmill.', 'flour mill, gristmill.']",2,,
ալքիմիա,noun,['alchemy.'],2,,
ախորժակ,noun,"['appetite.', '(figuratively) wish, desire.']",2,,
ախտ,noun,"['disease, illness.']",1,,
ածիլել,verb,"['transitive to shave.', '(transitive) to shave.']",2,,
ածխաջուր,noun,['carbohydrate.'],2,,
ականանետ,noun,"['military mortar, trench mortar lightweight, often portable artillery piece which transmits recoil to a base plate.', '(military) mortar, trench mortar (lightweight, often portable artillery piece which transmits recoil to a base plate).']",2,,
ականջ,noun,"['ear.', '(figuratively) hearing, ability to hear.', '(figuratively) spy, informant.', '(figuratively) anything that is ear-shaped or resembles an ear.', '(figuratively) shoehorn.', '(dialectal) eye (of a needle).', '(dialectal) leather bearing (on a spinning wheel).', '(dialectal) type of pastry shaped like an ear.']",1,,
ակնածել,verb,"['to venerate, to revere, to respect.', '(rare) to feel scared, frightened, terrified.']",2,,
ակնամոմ,noun,['propolis.'],2,,
ակնարկ,noun,"['essay, overview literary genre.', 'essay, overview (literary genre).', 'hint, suggestion, allusion; innuendo.']",2,,
ակնարկել,verb,"[""to give a look or move one's eyes as a message or signal."", 'to hint, to allude, to remind subtly.']",2,,
ակնթարթ,noun,"['blink of an eye.', 'instant, second.']",2,,
ակնկալել,verb,"['to expect, to anticipate, to hope.']",2,,
ահաբեկել,verb,"['to scare, to frighten, to terrify.', 'to terrorize.']",2,,
աղաղակ,noun,"['cry, shout; yell, scream.', 'uproar, noise.']",2,,
աղաղակել,verb,"['to shout, to scream, to yell, to cry out.', '(archaic) to kvetch, to gripe (to remind frequently or complain).']",2,,
աղամող,noun,"['tortuous, twisting; crooked, distorted.']",2,,
աղանձ,noun,['roasted wheat and other cereals.'],1,,
աղաչանք,noun,"['entreaty, supplication, earnest request.']",2,,
աղաչել,verb,"['to entreat, to beg, to pray, to implore, to supplicate (for).']",2,,
աղավաղել,verb,"['to distort, to deform.', 'to distort (to reproduce inaccurately, e.g., a text).', '(rare) to destroy, to disturb.']",2,,
աղատել,verb,"[', derives from onomatopoeic root , , on which see . This is accepted by J̌ahukyan with reservation. Martirosyan remarks that is not explained properly, however it may be the iterative suffix .', '(dialectal) to lament bitterly.']",2,,
աղարտել,verb,"['to spoil, to ruin.', 'to distort, to twist; to misrepresent.', '(figuratively) to denigrate, to disparage.', '(archaic) to despise, to disdain.']",2,,
աղբյուր,noun,"['spring, fountain, source of water.', 'the water flowing from a spring.', 'a structure built upon a spring.', '(figuratively) source (place of origin of something).', '(figuratively) source of information.']",2,,
աղմկել,verb,['to make a noise; to be noisy.'],2,,
