"title","new_etymology","source_language","relation","cognates","pie_root"
"թառափություն2","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառիփություն2","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքություն2","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորություն2","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորիչություն2","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն2","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն3","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն4","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն5","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն6","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն7","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն8","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն9","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն10","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն11","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն12","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն13","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն14","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն15","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն16","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն17","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն18","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն19","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն20","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն21","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն22","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն23","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն24","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն25","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն26","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն27","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն28","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն29","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն30","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն31","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն32","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն33","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն34","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն35","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն36","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն37","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն38","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն39","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն40","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն41","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն42","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն43","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն44","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն45","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն46","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն47","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն48","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն49","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն50","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն51","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն52","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն53","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն54","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն55","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն56","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն57","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն58","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն59","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն60","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
