title,part_of_speech,definition,etymology,source_language,relation,cognates,pie_root,source,exists_in_dict
աբեղա,noun,"['dialectal forms recorded in dialectological notation.', 'abegha.', '(figuratively) hermit, recluse",TBD,,,,,priority1_batch_1,True
ագաթ,noun,['agate.'],TBD,,,,,priority1_batch_1,True
ադաշ,noun,"['namesake person with the same name as another.', 'namesake (person with the same name as another).",TBD,,,,,priority1_batch_1,True
ազան,noun,"['Islam azan, adhan, a call by the mullah inviting to prayer.', '(Islam) azan, adhan, a call by the",TBD,,,,,priority1_batch_1,True
ալաճա,adj,"['multi-coloured, piebald.']",TBD,,,,,priority1_batch_1,True
ալոե,noun,"['aloe plant.', 'aloe (plant).']",TBD,,,,,priority1_batch_1,True
ալտ,noun,"['alto voice.', 'alto (voice).', 'alto (singer).', 'viola (musical instrument).']",TBD,,,,,priority1_batch_1,True
ալևոր,adj,"['of a man gray-haired.', '(of a man) gray-haired.', '(figuratively) ancient.', 'old man.']",TBD,,,,,priority1_batch_1,True
ախր,particle,"['Armenian particle.', 'used to express opposition to a remark, often expressing a degree of exasper",TBD,,,,,priority1_batch_1,True
ակ,noun,"['spring, fountain, source of water.', '(botany) bud.', '(dialectal) eye; sight.', '(figuratively) o",TBD,,,,,priority1_batch_1,True
ականջ,noun,"['ear.', '(figuratively) hearing, ability to hear.', '(figuratively) spy, informant.', '(figurativel",TBD,,,,,priority1_batch_1,True
աղանձ,noun,['roasted wheat and other cereals.'],TBD,,,,,priority1_batch_1,True
աղոթք,noun,['prayer.'],TBD,,,,,priority1_batch_1,True
աղջիկ,noun,"['girl, young woman.', 'little girl; girlie.', '(colloquial) daughter.', 'maidservant, housemaid.',",TBD,,,,,priority1_batch_1,True
աղվես,noun,"['fox.', '(figuratively) cunning person.']",TBD,,,,,priority1_batch_1,True
աղքատ,adj,"['poor, indigent.', 'scant, scanty, poor, pathetic; meagre, wretched.', 'poor man, pauper.']",TBD,,,,,priority1_batch_1,True
աճ,noun,"['increase; rise; growth.', 'development.']",TBD,,,,,priority1_batch_1,True
ամիս,noun,['month.'],TBD,,,,,priority1_batch_1,True
ամուր,adj,"['durable, strong, solid.']",TBD,,,,,priority1_batch_1,True
ան,pron,"['personal he, she.', '(personal) he, she.']",TBD,,,,,priority1_batch_1,True
անգ,noun,"['dialectal handle of a pot.', '(dialectal) handle of a pot.', '(dialectal) ring on the edge of a sa",TBD,,,,,priority1_batch_1,True
անգեղ,adj,"['dated ugly, deformed.', '(dated) ugly, deformed.']",TBD,,,,,priority1_batch_1,True
անել,verb,['to do.'],TBD,,,,,priority1_batch_1,True
անիծ,noun,"['nit, louse egg.']",TBD,,,,,priority1_batch_1,True
անկախ,adj,['independent.'],TBD,,,,,priority1_batch_1,True
անհամ,adj,"['tasteless.', '(figuratively) banal, insipid.']",TBD,,,,,priority1_batch_1,True
անձավ,noun,['cave.'],TBD,,,,,priority1_batch_1,True
անձրև,noun,['rain.'],TBD,,,,,priority1_batch_1,True
անճար,adj,"['helpless, poor, wretched.', 'useless, inept.', '(dialectal) incurable, remediless.', 'wretch.', 'o",TBD,,,,,priority1_batch_1,True
անոթի,adj,"['hungry.', '(figuratively) poor, destitute.', 'on an empty stomach.']",TBD,,,,,priority1_batch_1,True
անութ,noun,['armpit.'],TBD,,,,,priority1_batch_1,True
անուն,noun,"['name.', 'given name, first name.', 'title, denomination.', 'prestige.']",TBD,,,,,priority1_batch_1,True
անուշ,adj,"['sweet.', 'pleasant, agreeable.']",TBD,,,,,priority1_batch_1,True
անուր,noun,"['collar for animals.', 'collar (for animals).', '(figuratively) oppression, yoke.']",TBD,,,,,priority1_batch_1,True
անվախ,adj,"['fearless.', 'fearlessly.']",TBD,,,,,priority1_batch_1,True
անտեր,adj,"[""ownerless, no man's; unattended; abandoned."", '(colloquial) damned, darned.']",TBD,,,,,priority1_batch_1,True
աչք,noun,['eye.'],TBD,,,,,priority1_batch_1,True
ապիկի,noun,"['glass vessel.', 'cupping glass.', 'varnish.', 'glass, made of glass.', 'Alternative of ապակի.', 'r",TBD,,,,,priority1_batch_1,True
ապուր,noun,['soup.'],TBD,,,,,priority1_batch_1,True
ապտակ,noun,['slap in the face.'],TBD,,,,,priority1_batch_1,True
առիք,noun,"['dialectal forms recorded in dialectological notation.', '(dialectal) ceiling.']",TBD,,,,,priority1_batch_1,True
առնետ,noun,['rat.'],TBD,,,,,priority1_batch_1,True
առտու,adv,"['Western Armenian in the morning.', '(Western Armenian) in the morning.', '(Western Armenian) morni",TBD,,,,,priority1_batch_1,True
ասեղ,noun,['needle.'],TBD,,,,,priority1_batch_1,True
աստղ,noun,"['star.', 'celebrity, star.']",TBD,,,,,priority1_batch_1,True
ավազ,noun,['sand.'],TBD,,,,,priority1_batch_1,True
ավաղ,intj,"['alas!', 'alas! (used to express sorrow, regret, or grief).']",TBD,,,,,priority1_batch_1,True
ավան,noun,['small town.'],TBD,,,,,priority1_batch_1,True
ավել,noun,"['broom, besom.']",TBD,,,,,priority1_batch_1,True
ավլել,verb,"['transitive to sweep.', '(transitive) to sweep (with a broom).']",TBD,,,,,priority1_batch_1,True
ատամ,noun,"['tooth.', '(technology) cog.', 'prong.', 'merlon.']",TBD,,,,,priority1_batch_1,True
ատել,verb,['to hate.'],TBD,,,,,priority1_batch_1,True
ատկատ,noun,"['informal kickback clandestine payment in return for a favor.', '(informal) kickback (clandestine p",TBD,,,,,priority1_batch_1,True
ատյան,noun,"['place of assembly hall, square.', 'place of assembly (hall, square).', 'meeting of an assembly.',",TBD,,,,,priority1_batch_1,True
արաց,noun,"['historical, sometimes, capitalized the sixth month of the.', '(historical, sometimes capitalized)",TBD,,,,,priority1_batch_1,True
արծիվ,noun,['eagle.'],TBD,,,,,priority1_batch_1,True
արծվի,noun,"['alternative form of արծիվ.', 'archaic form of արծիվ (arciv).']",TBD,,,,,priority1_batch_1,True
արմո,noun,"['Internet slang, derogatory a diasporoid Armenian usually from a Western country.', '(Internet slan",TBD,,,,,priority1_batch_1,True
արոս,noun,['field that is left uncultivated for 5-6 years for strengthening.'],TBD,,,,,priority1_batch_1,True
արոր,noun,['plough.'],TBD,,,,,priority1_batch_1,True
արքա,noun,"['king, monarch.', '(chess) king.']",TBD,,,,,priority1_batch_1,True
արև,noun,"['the sun.', 'sunlight.', '(figuratively) life.']",TBD,,,,,priority1_batch_1,True
ափսե,noun,"['Eastern Armenian plate.', '(Eastern Armenian) plate.', '(Western Armenian) tray.']",TBD,,,,,priority1_batch_1,True
աքիս,noun,"['weasel, least weasel <ref></ref>.', 'weasel, least weasel (Mustela nivalis).']",TBD,,,,,priority1_batch_1,True
բագին,noun,"['altar pagan.', 'altar (pagan).', 'pagan shrine, pagan temple.']",TBD,,,,,priority1_batch_1,True
բազի,adj,"['certain, some, a kind of.', 'sometimes, from time to time, occasionally.']",TBD,,,,,priority1_batch_1,True
բակլա,noun,"['broad bean, <ref></ref>.', 'broad bean, Vicia faba.']",TBD,,,,,priority1_batch_1,True
բանան,noun,"['banana fruit.', 'banana (fruit).']",TBD,,,,,priority1_batch_1,True
բանել,verb,"['intransitive to work, operate, function.', '(intransitive) to work, operate, function.']",TBD,,,,,priority1_batch_1,True
բանկա,noun,"['glass jar.', 'cupping jar.']",TBD,,,,,priority1_batch_1,True
բաննա,noun,['bricklayer.'],TBD,,,,,priority1_batch_1,True
բառ,noun,['word.'],TBD,,,,,priority1_batch_1,True
բառիգ,noun,['drug dealer.'],TBD,,,,,priority1_batch_1,True
բավիղ,noun,['labyrinth.'],TBD,,,,,priority1_batch_1,True
բարի,adj,"['kind, kind-hearted, good-natured, good.', 'good.', 'all right!, very well!, agreed!, OK.']",TBD,,,,,priority1_batch_1,True
բարկ,adj,"['scorching, burning hot.', '(of alcohol) strong.', 'bitter.']",TBD,,,,,priority1_batch_1,True
բարոն,noun,['baron.'],TBD,,,,,priority1_batch_1,True
