title,part_of_speech,definition,current_etymology
աբոնեմենտ,noun,['subscription; season ticket.'],
աբսոլյուտ,adj,"['colloquial absolute.', '(colloquial) absolute.']",
աբստրակցիա,noun,['abstraction.'],
աբստրահել,verb,['to abstract.'],
ագահություն,noun,"['greed, avarice.']",
ագուցահանել,verb,"['to cut a groove, rabbet.']",
ագուցավորել,verb,"['to groove, match, rabbet.']",
ագրեգատավորել,verb,"['technology to aggregate, unitize, gang up.', '(technology) to aggregate, unitize, gang up.']",
ադամանդել,verb,"['rare, transitive to adorn with diamonds.', '(rare, transitive) to adorn with diamonds.']",
ազատագնել,verb,"['transitive to ransom.', '(transitive) to ransom.']",
ազատագրել,verb,"['to liberate, set free; to emancipate.']",
ազատազրկել,verb,"['to confine, deprive of liberty, imprison.']",
ազատություն,noun,['freedom.'],
ազդարարել,verb,"['to announce, to proclaim, to advertise to give public notice of; to announce publicly.', 'to annou",
ալբուխարա,noun,"[', citing as.', 'alubukhara.']",
ալիշ-վերիշ,noun,"['commerce, trade.']",
ակն ընդ ական,,['eye for an eye.'],
ակնակապիճ,noun,"['anatomy eye socket.', '(anatomy) eye socket.']",
ահազանգել,verb,"['to sound the alarm, to raise the alarm, to alarm.', 'to warn, to alert.']",
աղանդավորություն,noun,['sectarianism.'],
աղքատանոց,noun,"['.ogg|a=Eastern Armenian}}.', 'poorhouse.']",
ամբարհավաճություն,noun,['arrogance.'],
ամորձատել,verb,['to castrate.'],
այբբենարան,noun,"['primer, ABC book the book used to teach the alphabet.', 'primer, ABC book (the book used to teach ",
այլմոլորակային,adj,"['extraterrestrial.', 'alien, extraterrestrial.']",
անբոքսինգ,adj,['unboxing.'],
անդամահատել,verb,"['transitive to amputate.', '(transitive) to amputate.']",
անդոհական,adj,"['archaic, poetic disquieting, dreadful.', '(archaic, poetic) disquieting, dreadful.']",
աներկյուղանալ,verb,"['to become fearless, brave.']",
անհաղթելի,adj,"['invincible, unconquerable.']",
անհամեստություն,noun,"['immodesty, lack of modesty.', 'indiscretion, indelicacy.']",
անհեռանկարային,adj,"['having no prospects, unpromising, hopeless, futile, gloomy, dark.']",
անձեռոցիկ,noun,"['napkin, serviette.']",
անուշահոտություն,noun,['sweet smell.'],
անսարքություն,noun,"['failure, breakdown, malfunction, defect, disrepair.']",
անվրդովություն,noun,"['imperturbability, composure.']",
անտառային կզաքիս,,['pine marten.'],
անտիցիկլոն,noun,['anticyclone.'],
անցողական,adj,"['transitory, temporary.', '(grammar) transitive.']",
աշխարհակալ,adj,"['great conqueror; emperor.', 'ruling an empire.']",
աշխարհաքաղաքական,adj,['geopolitical.'],
աութսորսինգ,noun,['outsourcing.'],
ապամոնտաժել,verb,"['transitive to disassemble, dismantle.', '(transitive) to disassemble, dismantle.']",
ապաշրջափակում,noun,"['lifting of a blockade, unblocking.']",
ապատեղեկատվություն,noun,['disinformation.'],
ապացուցել,verb,['to prove.'],
ապացուցողական,adj,"['evidential, evidentiary, probative.', 'evidence-based.']",
ապենդիցիտ,noun,"['pathology appendicitis.', '(pathology) appendicitis.']",
աջաբսանդալ,noun,"['ajapsandali.', '(figuratively) hodgepodge, medley, jumble.']",
առանձնյակ,noun,"['biology individual, person.', '(biology) individual, person.']",
առաջադիմել,verb,"['to progress, to advance, to move forward.', 'to improve, to progress (to begin to learn well).']",
առավոտականչ,noun,"['cockcrow, dawn.']",
առերևույթ,adj,"['seeming.', 'alleged.', 'seemingly, outwardly, in appearance.', 'allegedly.']",
առհասարակ,adv,"['in general, generally, commonly.']",
առևտրի կենտրոն,,['shopping centre.'],
ասոցիացիա,noun,"['association group of persons associated for a common purpose.', 'association (group of persons ass",
ասպնջական,adj,"['dated hospitable.', '(dated) hospitable.', '(dated) host.']",
աստղագնաց,noun,['astronaut.'],
ավիահաղորդակցություն,noun,"['air connectivity, air communication.']",
ավտոմեքենա,noun,['automobile.'],
ատրագույն,adj,"['dated of fiery colour.', '(dated) of fiery colour.']",
արգումենտ,noun,"['argument fact or statement used to support a proposition; a reason.', 'argument (fact or statement",
արժեքավորել,verb,"['to make valuable.', 'to appreciate, to value.']",
արծաթասիրություն,noun,"['love of money, avarice.']",
արհամարհել,verb,"['to despise, to hold in contempt.', 'to disdain.']",
արձագանքել,verb,"['to echo.', 'to respond, to answer.']",
արյունահոսել,verb,['to bleed.'],
արյունատար անոթ,,['anatomy blood vessel.'],
արշալույս,noun,['dawn.'],
արշիպելագ,noun,['archipelago.'],
