title,part_of_speech,definition,suggested_etymology,notes
-ա-,,['an agglutinating interfix.'],Etymology needs research,
-ած,,['Appended to the verb stem to form its resultative participle.'],Etymology needs research,
-ակերտ,,['alternative form of -կերտ.'],Etymology needs research,
-ատ,,"['less, clipped, cut.']",Etymology needs research,
-եղ,,['forming adjectives.'],Etymology needs research,
-երորդ,,['Forming ordinal numbers.'],Etymology needs research,
-իք,,['forming abstract nouns.'],Etymology needs research,
-ոջ,,['singular dative case ending of oǰ-declension nouns.'],Etymology needs research,
-ոտ,,"['full of, possessing in abundance, -y.']",Etymology needs research,
-ոց,,['forming nouns with the meaning of place.'],Etymology needs research,
-ու,,['forming adjectives.'],Etymology needs research,
-պանակ,,"['holder, keeper; protector.']",Etymology needs research,
-պատիկ,,['fold.'],Etymology needs research,
աբանոս,noun,['rare form of եբենոս (ebenos).'],Etymology needs research,
ագահել,verb,"['to be avaricious, greedy.', 'to hoard avariciously.', 'to try to seize the property of others.']",Etymology needs research,
ագարակ,noun,"['farm; farmstead.', '(historical) landed estate.', '(historical) single-homestead settlement, khutor.']",Etymology needs research,
ազատել,verb,['to free.'],Etymology needs research,
ազատիլ,verb,"['to escape, to evade.']",Etymology needs research,
ազբ,noun,"['the movable frame of a loom with comb-like threads through which the threads of the woof pass.', 'warp.']",Etymology needs research,
ալեկոծ,adj,"['surging, billowing of a wave.', 'surging, billowing (of a wave).', '(figuratively) deeply distressed, moved, restless.']",Etymology needs research,
ախտ,noun,"['disease, illness.']",Etymology needs research,
ախր,particle,"['Armenian particle.', 'used to express opposition to a remark, often expressing a degree of exasperation, despair or frustration.']",Etymology needs research,
ածիլել,verb,"['transitive to shave.', '(transitive) to shave.']",Etymology needs research,
ակնարկ,noun,"['essay, overview literary genre.', 'essay, overview (literary genre).', 'hint, suggestion, allusion; innuendo.']",Etymology needs research,
ակներև,adj,"['clear, apparent, obvious, known.', 'clearly, apparently, obviously.']",Etymology needs research,
ակտ,noun,"['act, operation; official document.']",Etymology needs research,
ահաբեկ,adj,"['scared, frightened, terrified.', 'in the manner of being scared, frightened, or terrified.']",Etymology needs research,
ահաւոր,adjective,"['horrible; frightful, fearful, alarming.']",Etymology needs research,
աղաղակ,noun,"['cry, shout; yell, scream.', 'uproar, noise.']",Etymology needs research,
աղամող,noun,"['tortuous, twisting; crooked, distorted.']",Etymology needs research,
աղաչել,verb,"['to entreat, to beg, to pray, to implore, to supplicate (for).']",Etymology needs research,
աղատել,verb,"[', derives from onomatopoeic root , , on which see . This is accepted by J̌ahukyan with reservation. Martirosyan remarks that is not explained properly, however it may be the iterative suffix .', '(dialectal) to lament bitterly.']",Etymology needs research,
աղբիւր,noun,"['fountain, source.']",Etymology needs research,
աղմկել,verb,['to make a noise; to be noisy.'],Etymology needs research,
աղոթել,verb,['to pray.'],Etymology needs research,
աղուէս,noun,"['fox; cunning, sly.']",Etymology needs research,
աղուոր,adjective,"['nice, handsome, beautiful, lovely, fine.']",Etymology needs research,
աղօթել,verb,"['to pray, to worship.']",Etymology needs research,
ամաչել,verb,"['intransitive to be ashamed (of).', '(intransitive) to be ashamed (of).', '(intransitive) to feel shy.']",Etymology needs research,
ամչնալ,verb,['to be ashamed.'],Etymology needs research,
ամպ,noun,"['cloud.', '(figuratively) sorrow, grief.']",Etymology needs research,
այբ,noun,"['the name of the Armenian letter ա.', 'the name of the Armenian letter ա (a).']",Etymology needs research,
այժմու,adj,"['Western Armenian present, modern.', '(Western Armenian) present, modern.']",Etymology needs research,
այծյամ,noun,"['roe deer.', 'buck, hart.', 'chamois.']",Etymology needs research,
այծքաղ,noun,['antelope.'],Etymology needs research,
այտ,noun,"['somewhat, formal cheek.', '(somewhat formal) cheek.']",Etymology needs research,
այտուց,noun,"['pathology swelling; edema.', '(pathology) swelling; edema.']",Etymology needs research,
անամօթ,adjective,"['shameless, impudent, insolent, brazen; shamelessly, impudently.']",Etymology needs research,
անապատ,adj,"['desert.', 'hermitage.', 'desert, uninhabited.']",Etymology needs research,
անառիկ,adj,"['impregnable, unassailable, unconquerable.']",Etymology needs research,
անատակ,adj,"['dialectal bottomless; very deep.', '(dialectal) bottomless; very deep.']",Etymology needs research,
անարատ,adj,"['immaculate, pure, innocent, chaste.', 'pure, clear.']",Etymology needs research,
անբնակ,adj,"['uninhabited, deserted.', 'homeless (having no home).']",Etymology needs research,
անգ,noun,"['dialectal handle of a pot.', '(dialectal) handle of a pot.', '(dialectal) ring on the edge of a sack for wheat.']",Etymology needs research,
անգործ,adj,"['unemployed, jobless, idle.', 'defective, out of order, out of service.', 'a person who is unemployed, out of work.', 'in an unemployed, jobless, idle way.']",Etymology needs research,
անգութ,adjective,"['cruel, pitiless, unmerciful, unconscionable, ruthless, merciless.']",Etymology needs research,
անդորր,adj,"['quiet, serenity, peace, calm.', 'quiet, serene, peaceful, calm.']",Etymology needs research,
