title,etymology,part_of_speech,definition,source
-ա-,From .,,an agglutinating interfix.,wikitext
-աբար,From .,,alternative form of -բար.,wikitext
-ագին,From .,,alternative form of -գին.,wikitext
-ագույն,From .,,alternative form of -գույն.,wikitext
-ած,From .,,Appended to the verb stem to form its resultative participle.,wikitext
-ածո,From .,,Forms nouns and adjectives with the meaning of a consequence of an action.,wikitext
-ական,From .,,"forming adjectives; -ian, -al.",wikitext
-ակերտ,From .,,alternative form of -կերտ.,wikitext
-ային,From .,,This suffix is very productive.,wikitext
-ան,"From , from .",,forming nouns and adjectives.,wikitext
-ան-,"From , from .",,forming inchoative verbs.,wikitext
-անակ,From .,,Forming nouns.,wikitext
-անի,From .,,Possessing a quality or thing.,wikitext
-անոց,From .,,"forming nouns of places, -ery.",wikitext
-ապանակ,From .,,alternative form of -պանակ.,wikitext
-ապատ,From .,,forming city names after the name of its founder.,wikitext
-ապես,"From , from .",,Forming adverbs. Corresponds to -ly.,wikitext
-աստան,From .,,alternative form of -ստան.,wikitext
-ավետ,From .,,Adjectival suffix.,wikitext
-ավոր,"From , from .",,"Forming names of persons or things, carrying or doing something.",wikitext
-ատ,From .,,"less, clipped, cut.",wikitext
-արան,From .,,"forming nouns of places or containers; -ery, -arium.",wikitext
-արար,"From , the aorist stem of .",,forming agent nouns.,wikitext
-արեն,From .,,alternative form of -երեն.,wikitext
-ացն-,From .,,Infixed into suffixed verbs ending with -ալ in infinitive to create their causative version. The ver,wikitext
-ացու,From .,,"Destined for, intended for.",wikitext
-բար,From .,,Forming adverbs. Corresponds to -ly.,wikitext
-գին,From .,,forming adjectives and adverbs.,wikitext
-դ,From .,,a possessive suffix marking 2nd person possession.,wikitext
-եղ,From .,,forming adjectives.,wikitext
-եղեն,From .,,forming collective nouns.,wikitext
-են-,From .,,present stem extension found in certain verbs.,wikitext
-ենի,From .,,forming names of trees and shrubs.,wikitext
-երեն,From .,,Forms names of languages when appended to roots denoting names of nations or regions:.,wikitext
-երորդ,From .,,Forming ordinal numbers.,wikitext
-եցն-,From .,,Infixed into verbs ending with -ել in infinitive to create their causative version.,wikitext
-ը,From .,,"a definite article that assigns definite reference to the noun and is suffixed to the noun’s stem, o",wikitext
-ի,From .,,able.,wikitext
-իլիոն,", as if it contains.",,illion.,
-իկ,", from .",,forming diminutives or terms expressing affection.,wikitext
-իչ,"From , from .",,"forming agent nouns, -er.",wikitext
-ից,From the stem vowel +.,,Eastern Armenian the singular and plural ablative case ending of nouns of almost all declension type,
-իք,From .,,forming abstract nouns.,wikitext
-կերտ,From .,,forming city names after the name of its founder.,wikitext
-կոտ,From .,,forming adjectives.,wikitext
-մունք,"From , plural of .",,"forming verbal nouns, -ing.",wikitext
-յա,. The inherited form is.,,forms adjectives with the meaning of “made or consisting of”; -en.,
-յալ,From .,,"Forming adjectives from verbs, resulting from the completion of the action expressed by a verb.",wikitext
-յակ,From .,,forming nouns.,wikitext
-յուն,From .,,"forming nouns related to the notion of sound, noise and often having onomatopoeic origin.",wikitext
-ող,"From , .",,Appended to the verb stem to form its subjective participle.,wikitext
-ոն,From .,,forming nouns.,wikitext
-ոնք,From .,,forming action nouns.,wikitext
-ոջ,Etymology needs research,,singular dative case ending of oǰ-declension nouns.,merge_complete.py
-ով,From .,,the singular and plural instrumental case ending of nouns of all declension types.,wikitext
-ովին,From .,,forming adverbs.,wikitext
