title,part_of_speech,definition,current_etymology,suggested_etymology,source,notes
-դ,,a possessive suffix marking 2nd person possession.,From .,,wikitext,
-ը,,"a definite article that assigns definite reference to the noun and is suffixed to the noun’s stem, o",From .,,wikitext,
-ի,,able.,From .,,wikitext,
-ս,,a possessive suffix marking 1st person possession.,From .,,wikitext,
Ջո,proper noun,Joe.,From .,,wikitext,
Օբ,proper noun,Ob river.,From .,,wikitext,
աջ,adj,"of direction right, not left.",From .,,wikitext,
աս,pron,this.,From .,,wikitext,
ատ,pron,that.,From .,,wikitext,
բա,intj,what about (something someone had not considered).,From .,,wikitext,
գի,noun,dialectal cypress.,From .,,wikitext,
դա,noun,the name of the Armenian letter դ.,From .,,wikitext,
եզ,noun,ox.,From .,,wikitext,
եմ,verb,I am.,From .,,wikitext,
եչ,noun,the name of the Armenian letter ե.,From .,,wikitext,
ես,noun,personal I.,From .,,wikitext,
ետ,adv,"back, backward.",From .,,wikitext,
զա,noun,the name of the Armenian letter զ.,From .,,wikitext,
էգ,adj,female of animals.,From .,,wikitext,
էլ,adv,"also, too.",From . .,,wikitext,
ըթ,noun,the name of the Armenian letter ը.,From .,,wikitext,
թո,noun,the name of the Armenian letter թ.,From .,,wikitext,
ժե,noun,the name of the Armenian letter ժ.,From .,,wikitext,
իժ,noun,"In the Physiologus, translates .",From .,,wikitext,
իլ,noun,spindle.,From .,,wikitext,
իմ,pron,possessive my.,From .,,wikitext,
խե,noun,the name of the Armenian letter խ.,From .,,wikitext,
ծա,noun,the name of the Armenian letter ծ.,From .,,wikitext,
հի,noun,the name of the Armenian letter յ.,From .,,wikitext,
ձա,noun,the name of the Armenian letter ձ.,From .,,wikitext,
ճե,noun,the name of the Armenian letter ճ.,From .,,wikitext,
նա,pron,as “she”}}.,From .,,wikitext,
շա,noun,the name of the Armenian letter շ.,From .,,wikitext,
ող,noun,anatomy vertebra.,From .,,wikitext,
ով,intj,who.,From .,,wikitext,
որ,conj,"who, which, that (relative pronoun) singular.",From .,,wikitext,
չ-,,"a negative particle appended to the verb to form the negative conjugation of all moods, except the i",From .,,wikitext,
չա,noun,the name of the Armenian letter չ.,From .,,wikitext,
չէ,adv,informal no.,From .,,wikitext,
պե,noun,the name of the Armenian letter պ.,From .,,wikitext,
ջե,noun,the name of the Armenian letter ջ.,From .,,wikitext,
ռա,noun,the name of the Armenian letter ռ.,From .,,wikitext,
սա,pron,this.,From .,,wikitext,
սե,noun,the name of the Armenian letter ս.,From .,,wikitext,
րե,noun,the name of the Armenian letter ր.,From .,,wikitext,
ց-,,"till, until, up to.",From .,,wikitext,
ցո,noun,the name of the Armenian letter ց.,From .,,wikitext,
քե,noun,the name of the Armenian letter ք.,From .,,wikitext,
օթ,noun,archaic spending/passing the night.,From .,,wikitext,
օձ,noun,"In the Physiologus, translates .",From .,,wikitext,
օս,noun,Ossetian.,From .,,wikitext,
-ա-,,an agglutinating interfix.,From .,,wikitext,
-ած,,Appended to the verb stem to form its resultative participle.,From .,,wikitext,
-ան,,forming nouns and adjectives.,"From , from .",,wikitext,
-ատ,,"less, clipped, cut.",From .,,wikitext,
-եղ,,forming adjectives.,From .,,wikitext,
-իչ,,"forming agent nouns, -er.","From , from .",,wikitext,
-իք,,forming abstract nouns.,From .,,wikitext,
-ող,,Appended to the verb stem to form its subjective participle.,"From , .",,wikitext,
-ոն,,forming nouns.,From .,,wikitext,
-ով,,the singular and plural instrumental case ending of nouns of all declension types.,From .,,wikitext,
-ոտ,,"full of, possessing in abundance, -y.",From .,,wikitext,
-ոց,,forming nouns with the meaning of place.,From .,,wikitext,
-ու,,forming adjectives.,From .,,wikitext,
-ցի,,Denoting persons originating from a certain place.,From .,,wikitext,
Բել,proper noun,"Armenian mythology Bel, evil giant ruler of Babylon, defeated by Hayk, the mythical progenitor of Ar",From .,,wikitext,
Զևս,proper noun,Greek god Zeus.,From .,,wikitext,
Ժնև,proper noun,Geneva.,From .,,wikitext,
Կիև,proper noun,"capital city, c/Ukraine.",From .,,wikitext,
Յաշ,proper noun,"city, c/Romania.",From .,,wikitext,
Նոյ,proper noun,biblical character Noah.,"From , from .",,wikitext,
Սեթ,proper noun,Seth the third son of Adam and Eve.,From .,,wikitext,
Սոս,proper noun,A male given name.,"From , from .",,wikitext,
Սևր,proper noun,Sèvres.,From .,,wikitext,
Տեղ,proper noun,Tegh.,From .,,wikitext,
աբա,noun,aba coarse fabric woven from goat and camel hair.,From .,,wikitext,
ագի,noun,archaic tail.,From .,,wikitext,
ազբ,noun,the movable frame of a loom with comb-like threads through which the threads of the woof pass.,From .,,wikitext,
ախտ,noun,"disease, illness.",From .,,wikitext,
աղա,noun,historical landowner.,From .,,wikitext,
աղի,adj,Usually used in the plural: .,From .,,wikitext,
աղխ,noun,archaic household of the feudal or tribal leader.,From .,,wikitext,
աղտ,noun,"dirt, filth, uncleanliness.",From .,,wikitext,
ամպ,noun,cloud.,From .,,wikitext,
այբ,noun,the name of the Armenian letter ա.,From .,,wikitext,
այտ,noun,"somewhat, formal cheek.",From .,,wikitext,
անթ,noun,dialectal armpit.,"From , .",,wikitext,
անձ,noun,person.,From .,,wikitext,
անց,noun,after; past.,From .,,wikitext,
ապ-,,"a privative prefix; -less, in-, un.",From .,,wikitext,
առ-,,"toward, to, on, ad.",From .,,wikitext,
ասք,noun,"literature legend, saga, word, tale, song, lay.",From .,,wikitext,
արի,adj,"valiant, brave, manly.",From .,,wikitext,
արտ,noun,"cornfield, tilled field, arable land.",From .,,wikitext,
բաժ,noun,historical a kind of indirect tax.,From .,,wikitext,
բակ,noun,"court; yard, courtyard.",From .,,wikitext,
բայ,noun,grammar verb.,From .,,wikitext,
բաշ,adj,mane of animals.,From .,,wikitext,
բեն,noun,the name of the Armenian letter բ.,From .,,wikitext,
բիթ,noun,computing bit binary digit.,From .,,wikitext,
բիր,noun,"rod, staff, stave.",From .,,wikitext,
բոյ,noun,"colloquial height, stature of a person.",From .,,wikitext,
բոշ,adj,"empty, unoccupied, free, vacant.",From .,,wikitext,
բոռ,noun,drone in bees.,From .,,wikitext,
բու,noun,owl.,"From , from .",,wikitext,
գալ,verb,to come.,"From . The imperative  is from , the imperative of , originally in the phrase .",,wikitext,
գեշ,adj,"corpse, carrion, dead body.",From .,,wikitext,
գես,noun,rare hair.,From .,,wikitext,
գեր,adj,"fat, plump, fleshy (of a person or animal).",From .,,wikitext,
գիմ,noun,the name of the Armenian letter գ.,From .,,wikitext,
գոլ,adj,"sports, especially football goal act of placing the object into the goal.","From , from .",,wikitext,
գոհ,adj,"satisfied (with), content (with); pleased (with).",From .,,wikitext,
գով,noun,praise.,From .,,wikitext,
դատ,noun,"legal trial, judicial proceedings.",From .,,wikitext,
դար,noun,"century, 100 years.",From .,,wikitext,
դեզ,noun,"haystack, stack.",From .,,wikitext,
դեմ,noun,against.,From .,,wikitext,
դեռ,adv,"still, yet.",From .,,wikitext,
դեր,noun,role.,From .,,wikitext,
դժ-,,"a negative prefix, un-, dis-, mis.",From .,,wikitext,
դոժ,noun,historical doge.,From .,,wikitext,
դոխ,noun,"mill hopper a funnel-shaped container, whence the grist is discharged into the mill.",From .,,wikitext,
դող,noun,"shaking, trembling.",From .,,wikitext,
դու,pron,"personal you, thou.",From .,,wikitext,
եզր,noun,bank; shore.,From .,,wikitext,
եղծ,adj,archaic refutation.,From .,,wikitext,
ետք,adv,after.,From .,,wikitext,
ետև,adv,back.,"From , from .",,wikitext,
զառ,noun,gaming die (for gambling).,From .,,wikitext,
զատ,adj,"isolated, separate.",From .,,wikitext,
զով,adj,"cool, fresh, coldish.","From , from .",,wikitext,
էակ,noun,"being, creature living being.",From .,,wikitext,
թաթ,noun,paw.,From .,,wikitext,
թառ,noun,musical instruments tar Persian musical instrument.,From .,,wikitext,
թեզ,adv,thesis.,From .,,wikitext,
թել,noun,thread.,From .,,wikitext,
թեմ,noun,diocese.,From .,,wikitext,
թեր,adv,dialectal petal.,From .,,wikitext,
թեփ,noun,husk dry outer covering of grains; bran.,From .,,wikitext,
թեև,adv,"although, though.","From , .",,wikitext,
թիզ,noun,"span space from the thumb to the end of the little finger when extended, about 24 cm.",From .,,wikitext,
թիռ,adv,"rare flight, flying.",From .,,wikitext,
թոզ,noun,dust.,From .,,wikitext,
թոռ,noun,grandchild; grandson; granddaughter.,From .,,wikitext,
թոփ,noun,ball.,"From , from .",,wikitext,
թոք,noun,anatomy lung.,From .,,wikitext,
թևք,noun,sleeve.,From .,,wikitext,
ժամ,noun,hour.,From .,,wikitext,
ժոխ,noun,", unknown origin.",From .,,wikitext,
իբո,noun,Igbo language.,From .,,wikitext,
իբր,adv,"as, like.",From .,,wikitext,
ինի,noun,the name of the Armenian letter ի.,From .,,wikitext,
իսկ,conj,"while, and, but.",From .,,wikitext,
լավ,adj,good.,From .,,wikitext,
լեհ,noun,Pole.,From .,,wikitext,
լեն,adj,dialectal alternative form of լայն.,From .,,wikitext,
լեշ,noun,"carrion, carcass.",From .,,wikitext,
լիճ,noun,lake.,From .,,wikitext,
լիր,adj,"plenitude, fullness.",From .,,wikitext,
լոխ,noun,"slang simpleton, dummy.",From .,,wikitext,
լոկ,adj,"only, just, mere.",From .,,wikitext,
լոշ,noun,pita.,From .,,wikitext,
լու,noun,flea.,From .,,wikitext,
լոք,noun,", misidentifying with , considering the origin unknown.",From .,,wikitext,
խաժ,adj,"bluish-green, teal.",From .,,wikitext,
խալ,noun,"birthmark, mole.",From .,,wikitext,
խավ,noun,"nap (the thin layer of hairs, threads, or similar small projections on the surface of fabric).",From .,,wikitext,
խեժ,noun,resin.,From .,,wikitext,
խիթ,noun,"pain, colic.",From .,,wikitext,
