Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6	POS_7	Definition_7	POS_8	Definition_8	POS_9	Definition_9	POS_10	Definition_10	POS_11	Definition_11	POS_12	Definition_12	POS_13	Definition_13	POS_14	Definition_14	POS_15	Definition_15	POS_16	Definition_16
ԱԲԲԱՅ			Աբբաս; Վանական; Կրօնաւոր; Միանձն																														
ԱԲԻՈՆ			Աղքատ																														
ԱԳԱՀ			Ընչասէր; Ընչաքաղց; Արծաթասէր; Անյագ; Ժլատ; Կծծի																														
ԱԳԱՀՈՒԹԻՒՆ			Անյագութիւն; Ժլատութիւն; Ընչաքաղցութիւն; Կծծութիւն; Արծաթսիրութիւն		Ցանկութիւն; Փափագ		Ճիգն; Ջան		Կաշառ																								
ԱԳԱՆԵԼԻՔ			Զգեստ; Հանդերձ; Արկանելի																														
ԱԳԱՆԻՄ			Զգենում; Արկանեմ; Հագանիմ		"Իջավանիմ; Երեկանամ; <a href=""./?s=երեկօթք"">Երեկօթս առնել՝ առնուլ</a>"																												
ԱԳԱՊ			Սեղան; Հացկերոյթ																														
ԱԳԱՐԱԿ			Անդ; Անդաստան		Կալուած		Գիւղ; Աւան; Շէն		Դաստակերտ		Ագարակային																						
ԱԳԱՐԱԿԱՅԻՆ			Ագարակ																														
ԱԳԻ			Ձետ; Տուտն; Տտուն																														
ԱԳՈՅՑՔ			Լծակ; Նիգ		Լամբ; Օղամանեակ																												
ԱԳՈՒԳԱՅ			Առուահանք; Խողովակ																														
ԱԳՈՒՌ			Ափ; Բուռն		Աղիւս																												
ԱԳՈՒՑԱՆԵՄ			Զգեցուցանեմ; Զգեստաւորեցուցանեմ																														
ԱԳՌԱՒ			Որի																														
ԱԴԱՄԱՅԻՆ			Ադամայական; Ադամեան																														
ԱԴԱՄԱՆԴԵԱՅ			Ադամանդական; Ադամանդեան																														
ԱԴԱՄԵԱՆ			cf. ԱԴԱՄԱՅԻՆ																														
ԱԴԵՆ			Դրախտ; Եդեմ																														
ԱԶԱԶԱՆԱՄ			Ազազանեմ; Ազազեմ; Չորանամ; Ցամաքեմ; Ցամաքանամ																														
ԱԶԱԶԱՆԻՄ			cf. ԱԶԱԶԱՆԱՄ																														
ԱԶԱԶԵՄ			Չորացուցանեմ; Ցամաքեցուցանեմ		cf. ԱԶԱԶԱՆԱՄ																												
ԱԶԱԶՈՒՆ			Չոր; Ցամաք		Վտիտ; Տկար																												
ԱԶԱՏ			Ազնուական		Ինքնիշխան		Զերծ; Անմասն		Արձակ; Ընդարձակ		Բարձր		Ազատօրէն																				
ԱԶԱՏԱԲԱՐՈՅ			Բարեվար																														
ԱԶԱՏԱԲԵՐԱՆ			Անբռնադատ		Ազատօրէն; Անբռնադատաբար																												
ԱԶԱՏԱԳՈՒՆԴ			Ազատազօրք																														
ԱԶԱՏԱԴԷՄ			ՀԱՄԱՐՁԱԿԱԴԷՄ																														
ԱԶԱՏԱԶՕՐՔ			ԱԶԱՏԱԳՈՒՆԴ																														
ԱԶԱՏԱԿԱՆՈՒԹԻՒՆ			Ազատութիւն		Ազնուականութիւն		Անձնիշխանութիւն		Առատաձեռնութիւն																								
ԱԶԱՏԱՆԻ			Ազատորեար; Ազատատեարք																														
ԱԶԱՏԱՏԵԱՐՔ			cf. ԱԶԱՏԱՆԻ																														
ԱԶԱՏԱՏՈՀՄ			Ազատատոհմիկ; Ազնուատոհմ																														
ԱԶԱՏԱՏՈՀՄԻԿ			cf. ԱԶԱՏԱՏՈՀՄ																														
ԱԶԱՏԱՏՈՀՄՈՒԹԻՒՆ			Ազնուականութիւն																														
ԱԶԱՏԱՐԱՐ			Ազատեցուցիչ; Ազատիչ; Փրկիչ; Զերծուցիչ																														
ԱԶԱՏԵՄ			Փրկեմ; Զերծանեմ																														
ԱԶԱՏԵՑՈՒՑԻՉ			cf. ԱԶԱՏԱՐԱՐ																														
ԱԶԱՏՈՐԵԱՐ			cf. ԱԶԱՏԱՆԻ																														
ԱԶԱՏՈՒԹԻՒՆ			Ազնուականութիւն		Անձնիշխանութիւն		Փրկութիւն		Առատաձեռնութիւն		Ազնուութիւն; Մեծահոգութիւն																						
ԱԶԲԱԽՈՒՄԲ			Բազմախիտ; Խիտ՞՞՞առ՞՞՞խիտ																														
ԱԶԳ			Ցեղ; Տոհմ		Սերունդ		Ժողովուրդ; Ամբոխ		Սեռ; Տեսակ		Կարգ; Դաս																						
ԱԶԳԱԲԱՆՈՒԹԻՒՆ			Ծննդաբանութիւն; Ազգահամար; Ազգահանութիւն																														
ԱԶԳԱԳԼՈՒԽ			cf. ԱԶԳԱՊԵՏ																														
ԱԶԳԱԽԱՌՆ			Ազգական; Ազգակից; Խնամի																														
ԱԶԳԱԽԱՌՆՈՒԹԻՒՆ			Ազգակցութիւն; Ազգականութիւն																														
ԱԶԳԱԿԱՆ			Ազգակից; Արիւնակից		Մարմնակից		Նմանակից		Ազգային; Հայրենական																								
ԱԶԳԱԿԱՆՈՒԹԻՒՆ			Ազգակցութիւն		Ազգ; Ցեղ; Տոհմ																												
ԱԶԳԱԿԻՑ			Ազգական		Համասեռ		Համանման																										
ԱԶԳԱԿՑԱԲԱՐ			Ազգակցապէս																														
ԱԶԳԱԿՑԱՊԷՍ			cf. ԱԶԳԱԿՑԱԲԱՐ																														
ԱԶԳԱԿՑՈՒԹԻՒՆ			cf. ԱԶԳԱԿԱՆՈՒԹԻՒՆ		Կցորդութիւն; Համանմանութիւն																												
ԱԶԳԱՀԱՄԱՐ			cf. ԱԶԳԱԲԱՆՈՒԹԻՒՆ																														
ԱԶԳԱՀԱՆՈՒԹԻՒՆ			cf. ԱԶԳԱԲԱՆՈՒԹԻՒՆ																														
ԱԶԳԱՀԱՒ			Նախահայր																														
ԱԶԳԱՅԻՆ			Հայրենի; Հայրենական; Հայրենեան		Ազգական; Ազգակից																												
ԱԶԳԱՊԵՏ			Ազգագլուխ																														
ԱԶԳԱՏՈՀՄ			Տոհմ; Ցեղ; Զարմ		Ազգ																												
ԱԶԳԱՒՈՐՈՒԹԻՒՆ			Տոհմ; Ազգատոհմ		Ցեղակցութիւն; Տոհմակցութիւն; Համացեղութիւն; Ազգակցութիւն; Ազգականութիւն																												
ԱԶԳԻ՞՞՞ԱԶԳԻ			Պէսպէս; Բազմատեսակ; Զանազան																														
ԱԶԴ			Լուր; Տեղեկութիւն		Ազդումն; Ազդեցութիւն																												
ԱԶԴԱԿԱՆ			Ազդողական; Ներգործական; Ազդեցական; Ազդեցիկ; Ազդոյ																														
ԱԶԴԱՐԱՐՈՒԹԻՒՆ			Ազդումն; Յայտարարութիւն																														
